,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.05,1.9,1.19,1.97,1.65,1.33,0.69,0.67,0.54,0.78,0.58,0.57,0.38,0.43,0.68,0.5
d_1,1.98,1.04,1.97,1.8,1.57,1.42,0.65,0.81,0.56,0.44,0.53,0.43,0.39,0.26,0.43,0.42
f_1,1.97,1.71,1.05,1.86,1.55,1.43,0.53,0.52,0.51,0.71,0.48,0.64,0.34,0.44,0.42,0.44
c_1,1.5,2.1,1.64,1.05,2.12,1.45,0.69,0.35,0.62,0.6,0.48,0.51,0.4,0.37,0.46,0.36
b_1,2.02,2.26,2.37,1.19,1.06,2.55,0.81,0.61,0.72,0.7,0.74,0.56,0.54,0.48,0.52,0.47
a_1,3.09,2.91,2.87,3.05,1.48,1.07,1.1,0.92,0.79,1.11,0.98,0.84,0.66,0.65,0.65,0.78
h_1,4.58,5.13,5.87,4.7,4.32,3.49,1.26,1.43,1.39,1.86,1.3,1.23,1.2,1.04,1.11,1.25
d_0,3.55,6.29,5.66,7.59,5.75,4.38,2.34,1.4,1.54,2.27,1.79,1.54,1.21,1.26,1.55,1.35
c_0,6.16,3.95,6.7,7.29,5.6,4.61,2.25,2.51,1.38,1.91,1.84,1.62,1.39,1.21,1.48,1.48
g_1,5.1,6.44,6.01,5.99,5.49,4.39,1.74,1.81,1.94,1.3,1.98,1.7,1.06,1.23,1.52,1.32
b_0,6.1,5.39,7.6,7.88,7.14,4.42,2.36,1.9,1.24,2.07,1.38,1.57,1.48,1.5,1.4,1.61
f_0,6.13,6.66,9.0,7.19,6.48,4.87,2.64,2.29,2.03,1.73,2.07,1.44,1.51,1.1,1.79,1.54
h_0,7.91,7.57,8.16,8.3,7.05,6.27,3.4,2.71,2.28,3.09,2.22,2.16,2.11,1.83,1.63,1.7
g_0,7.79,10.06,9.81,9.96,8.36,7.35,2.71,3.05,2.59,3.6,2.31,2.52,1.66,2.28,2.17,1.97
e_0,11.43,7.37,11.05,9.58,9.17,6.47,3.57,3.14,2.73,2.51,2.86,1.73,2.24,2.02,1.48,1.99
a_0,8.71,8.06,11.27,11.48,10.72,10.15,3.69,2.85,2.48,3.45,1.82,2.67,2.34,2.14,2.22,1.58
