,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,5.07,10.08,7.34,10.06,6.92,3.83,2.61,3.38,3.47,2.86,2.77,1.63,2.2,,2.42
f_1,12.17,1.07,9.86,9.1,8.36,9.5,2.29,3.48,2.95,2.35,2.72,,1.39,2.68,2.25,1.89
d_1,10.01,8.57,1.07,9.85,7.62,8.32,3.6,4.43,2.76,,2.73,2.82,2.06,2.19,2.97,1.29
c_1,12.75,10.98,8.67,1.07,11.67,9.07,4.15,,3.95,1.85,3.59,3.07,2.4,3.27,2.95,2.38
b_1,11.73,14.8,13.92,6.9,1.07,12.31,5.22,3.49,3.19,3.65,,3.43,2.74,3.26,3.38,2.97
a_1,14.26,12.37,13.91,14.23,8.89,1.07,5.65,4.56,4.37,3.96,4.46,3.53,4.34,,,3.45
h_1,13.83,17.4,12.93,13.44,10.15,11.94,1.41,3.6,5.38,5.24,3.92,4.29,,3.5,2.66,3.7
c_0,14.25,12.13,8.33,,17.12,11.74,5.41,1.72,4.87,3.59,4.46,4.33,4.59,3.99,3.56,3.19
g_1,21.41,27.02,19.01,13.35,19.76,14.41,4.48,5.17,1.41,4.94,4.36,4.38,3.08,,4.01,
d_0,8.55,17.24,,23.32,13.68,18.51,4.6,6.56,5.5,1.74,4.59,3.28,3.38,3.17,4.29,3.17
b_0,17.46,16.76,17.7,16.47,,14.32,5.96,3.03,4.91,3.71,1.74,5.3,3.24,5.83,4.5,3.52
f_0,19.83,,17.5,13.64,13.29,14.43,5.79,4.52,5.02,6.03,4.68,1.73,3.36,5.21,5.34,3.07
h_0,17.2,19.4,16.14,16.5,12.83,13.94,,4.13,6.84,4.32,5.51,4.67,,3.12,3.49,3.24
a_0,23.94,19.85,21.11,23.64,23.77,,8.21,5.52,,7.99,3.24,6.71,6.81,1.7,5.45,3.35
e_0,,25.27,20.2,23.38,20.25,,9.69,6.38,8.22,7.54,6.56,3.91,5.76,5.58,1.68,4.52
g_0,16.71,22.3,25.14,16.18,18.06,16.87,6.71,5.01,,4.74,4.99,5.58,3.45,6.27,4.54,
