,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.23,1.44,1.5,1.73,2.97,16.9,25.0,31.82,35.24,47.51,47.4,82.51,86.05,109.4,138.74
e_1,0.81,1.0,1.35,1.4,1.86,3.37,20.05,42.11,43.01,38.98,55.33,69.22,105.45,131.18,129.7,159.3
c_1,0.69,0.73,1.0,1.46,1.99,2.67,14.92,14.47,27.1,21.3,33.13,38.1,66.21,66.55,68.08,110.41
d_1,0.67,0.71,0.68,1.0,1.03,1.78,13.22,17.37,16.28,32.29,35.2,32.95,65.38,75.11,73.33,77.48
b_1,0.57,0.54,0.5,0.97,1.0,3.08,9.7,15.9,16.3,25.12,23.8,33.34,56.12,57.73,51.48,75.6
a_1,0.34,0.3,0.37,0.56,0.33,1.0,6.1,9.23,9.89,10.82,17.93,15.91,30.13,32.63,33.78,46.92
h_1,0.06,0.05,0.07,0.08,0.11,0.16,1.0,1.26,1.99,2.0,2.5,2.85,4.91,5.82,5.27,8.09
d_0,0.04,0.02,0.07,0.06,0.07,0.11,0.77,1.0,1.36,1.23,1.71,1.76,3.61,4.55,4.13,5.86
g_1,0.03,0.02,0.04,0.06,0.06,0.1,0.5,0.74,1.0,1.17,1.52,1.9,2.33,3.46,2.88,4.26
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.48,0.83,0.85,1.0,2.09,1.59,2.4,2.64,3.24,3.8
b_0,0.02,0.02,0.03,0.03,0.04,0.06,0.41,0.56,0.66,0.5,1.0,1.06,1.69,2.18,2.92,2.87
f_0,0.02,0.01,0.03,0.03,0.03,0.07,0.34,0.56,0.52,0.63,0.9,1.0,1.74,2.68,1.71,2.11
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.27,0.43,0.4,0.54,0.56,1.0,1.13,1.01,1.97
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.22,0.3,0.38,0.45,0.4,0.86,1.0,0.9,1.32
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.24,0.35,0.32,0.35,0.6,1.01,1.16,1.0,1.59
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.17,0.24,0.26,0.34,0.46,0.5,0.72,0.61,1.0
