,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.04,1.45,1.06,1.6,1.64,1.2,0.58,0.6,0.55,0.44,0.54,0.44,0.37,0.52,0.42,0.34
d_1,1.77,1.04,1.6,1.44,1.34,1.22,0.52,0.41,0.53,0.48,0.42,0.43,0.33,0.36,0.37,0.24
f_1,1.86,1.49,1.04,1.57,1.35,1.11,0.49,0.63,0.52,0.44,0.51,0.43,0.27,0.36,0.38,0.35
c_1,1.48,2.07,1.67,1.05,1.92,1.38,0.61,0.65,0.35,0.53,0.45,0.43,0.39,0.41,0.39,0.32
b_1,1.73,2.01,2.22,1.24,1.05,2.08,0.71,0.69,0.53,0.72,0.56,0.66,0.46,0.49,0.41,0.43
a_1,2.58,2.43,2.93,2.18,1.33,1.06,0.96,0.91,0.76,0.78,0.65,0.94,0.53,0.58,0.82,0.54
h_1,4.54,4.44,4.86,4.58,3.9,3.53,1.23,1.66,1.41,1.29,1.36,1.33,1.12,1.18,1.11,0.95
g_1,4.43,4.91,4.87,4.49,4.26,3.87,1.62,1.25,1.41,1.39,1.39,1.37,0.88,1.16,1.14,1.01
d_0,3.69,6.74,4.82,5.65,4.9,4.57,2.18,2.14,1.34,1.58,1.45,1.37,1.18,1.35,1.32,1.18
c_0,5.66,3.82,5.89,6.51,4.64,4.21,2.19,1.85,2.15,1.33,1.59,1.77,1.3,1.45,1.54,1.14
f_0,5.03,6.03,7.18,5.77,5.34,5.15,2.22,1.65,1.84,1.74,1.36,1.8,1.41,1.88,1.34,0.97
b_0,6.16,4.87,5.77,7.34,5.83,4.28,2.33,2.09,2.18,1.22,1.75,1.34,1.27,1.46,1.55,1.29
h_0,7.1,7.32,8.75,6.94,6.65,5.59,2.94,2.8,2.16,1.96,1.95,2.1,1.9,1.77,1.6,1.38
e_0,7.66,7.89,10.52,7.76,7.09,6.13,2.86,2.51,2.34,2.28,1.49,2.36,1.63,1.48,1.9,1.35
a_0,7.8,7.52,8.27,10.08,9.17,7.19,3.25,3.16,2.95,1.86,2.31,1.56,1.81,1.99,1.47,1.74
g_0,8.63,9.64,9.32,9.69,7.77,7.21,2.8,3.45,2.71,2.63,2.56,2.54,1.76,2.3,1.89,2.06
