,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.88,1.22,1.82,2.03,3.42,21.89,28.41,40.21,50.63,51.95,52.7,83.43,95.0,100.56,134.22
f_1,1.13,1.0,0.93,1.5,1.41,3.08,12.95,20.98,25.04,28.84,37.27,38.62,62.21,58.16,67.72,113.61
d_1,0.82,1.07,1.0,1.17,1.63,3.13,17.05,18.38,35.43,33.49,38.37,42.9,63.83,64.05,96.44,85.73
c_1,0.56,0.66,0.85,1.0,1.58,2.38,12.21,14.45,14.57,17.09,29.19,24.05,49.93,54.86,60.49,76.81
b_1,0.49,0.72,0.62,0.63,1.0,2.93,11.0,13.86,19.31,19.38,28.16,29.2,37.96,51.87,45.53,72.96
a_1,0.3,0.33,0.32,0.42,0.33,1.0,5.6,7.82,9.46,12.81,14.27,14.98,26.77,26.97,32.2,41.14
h_1,0.05,0.08,0.06,0.08,0.1,0.18,1.0,1.75,1.67,1.88,2.22,2.64,4.17,4.99,5.19,7.89
g_1,0.04,0.05,0.06,0.06,0.07,0.12,0.58,1.0,1.33,1.25,2.44,1.83,2.85,3.11,3.81,5.62
c_0,0.03,0.04,0.03,0.07,0.05,0.1,0.6,0.72,1.0,1.18,1.41,2.19,2.81,2.97,3.4,4.09
d_0,0.02,0.03,0.03,0.06,0.05,0.08,0.54,0.78,0.85,1.0,1.23,1.3,2.4,2.75,2.98,3.44
f_0,0.02,0.03,0.03,0.03,0.04,0.07,0.44,0.41,0.71,0.8,1.0,0.94,1.64,1.86,3.02,2.17
b_0,0.02,0.03,0.02,0.04,0.04,0.06,0.36,0.55,0.47,0.77,1.11,1.0,2.29,1.9,1.93,2.76
a_0,0.01,0.02,0.02,0.02,0.03,0.04,0.25,0.36,0.37,0.43,0.61,0.43,1.0,1.21,1.02,1.64
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.2,0.32,0.33,0.38,0.54,0.51,0.85,1.0,0.99,1.66
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.27,0.33,0.35,0.34,0.5,0.89,0.94,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.18,0.24,0.28,0.47,0.38,0.63,0.6,0.79,1.0
