,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.3,0.44,0.33,0.3,0.22,0.3,0.6,0.44,0.66,0.56,0.62,,0.68,0.6,0.44,0.72
e_1,0.26,2.34,0.21,0.28,0.28,0.26,0.52,0.42,0.6,1.01,0.57,0.63,0.88,0.7,,0.79
d_1,0.23,0.32,2.52,0.26,0.26,0.34,0.64,0.52,0.94,,0.53,0.67,0.69,0.62,0.58,0.82
c_1,0.28,0.26,0.26,2.59,0.44,0.28,0.59,0.53,,0.58,0.62,0.62,0.85,0.51,0.77,0.71
b_1,0.33,0.29,0.27,0.28,2.73,0.35,0.51,0.57,0.65,0.54,,0.75,0.71,0.54,,0.72
a_1,0.23,0.22,0.23,0.24,0.31,3.32,0.7,0.65,0.74,0.81,0.66,0.57,0.74,,,0.88
h_1,0.62,0.49,0.47,0.43,0.59,0.44,3.89,1.75,1.09,1.08,1.39,1.11,,1.38,1.11,1.94
g_1,0.48,0.49,0.7,0.5,0.59,0.48,0.71,4.28,1.64,1.02,1.42,1.94,1.14,1.22,0.94,
c_0,0.67,0.65,0.56,,0.51,0.47,1.36,1.08,3.57,1.46,2.1,1.8,1.55,1.12,1.31,2.05
d_0,0.68,0.54,,1.03,0.72,0.5,1.42,1.02,1.08,3.53,1.22,1.12,2.3,1.29,1.3,1.84
b_0,0.63,0.71,0.74,0.49,,0.45,1.22,1.28,1.18,1.51,3.79,1.45,1.79,2.27,1.4,1.3
f_0,,0.59,0.57,0.53,0.52,0.87,1.27,0.91,1.15,1.43,1.45,4.16,2.24,,2.86,1.75
h_0,1.07,0.73,0.95,0.71,0.85,0.89,,1.65,1.71,1.23,1.68,1.23,,1.63,1.98,1.84
a_0,0.65,0.5,0.65,0.87,0.54,,1.13,0.96,1.75,1.62,0.91,,2.04,4.54,,1.86
e_0,0.75,,0.71,0.46,,,1.33,2.03,1.23,1.81,1.1,1.14,1.48,,4.92,
g_0,0.61,0.66,1.02,0.95,0.79,0.67,1.19,,1.44,1.63,2.03,1.83,2.28,1.51,,
