,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.19,12.97,12.01,14.8,14.43,14.99,2.33,2.39,2.44,4.91,2.72,,1.04,3.0,3.22,1.51
e_1,7.68,0.17,10.99,13.09,10.61,12.81,4.44,3.05,2.14,3.22,2.88,3.53,1.87,2.68,,3.0
d_1,13.63,13.89,0.15,11.01,16.75,10.19,5.12,,3.15,1.74,2.08,2.37,1.83,2.22,2.96,1.26
c_1,11.44,17.46,16.29,0.15,10.39,12.71,2.75,1.32,,3.08,2.57,3.04,2.46,2.83,3.16,1.76
b_1,13.22,10.87,11.33,7.69,0.14,15.02,3.38,2.93,3.09,3.58,,2.42,1.57,2.83,2.32,2.45
a_1,19.67,11.79,18.19,13.38,8.01,0.09,3.53,2.86,2.31,4.73,,3.07,1.47,,2.31,1.45
h_1,3.69,3.66,4.3,4.87,2.67,3.53,0.07,0.62,0.77,0.96,0.56,0.58,,0.46,0.43,0.4
d_0,2.24,1.5,,2.63,2.11,2.58,0.85,0.08,0.7,0.89,0.43,0.57,0.33,0.52,0.43,0.47
c_0,3.18,3.07,1.52,,2.87,2.65,0.66,0.49,0.08,0.76,0.44,0.4,0.41,0.44,0.54,0.37
g_1,2.87,5.08,3.97,2.87,4.63,3.26,0.69,0.85,0.72,0.05,0.9,0.6,0.36,0.61,0.53,
b_0,2.37,2.01,2.67,2.66,,,0.79,0.64,0.28,0.66,0.07,0.65,0.4,0.58,0.41,0.29
f_0,,3.22,2.46,2.37,2.63,2.1,0.77,0.55,0.38,0.45,0.62,0.06,0.33,,0.63,0.2
h_0,1.59,1.39,1.62,1.88,1.57,1.61,,0.26,0.36,0.58,0.38,0.32,,0.29,0.38,0.23
a_0,2.1,3.69,2.04,2.04,4.38,,0.64,0.57,0.48,0.87,0.3,,0.59,0.05,,
e_0,3.65,,3.17,2.21,3.8,1.73,0.73,0.45,0.77,0.82,0.45,0.23,0.28,,0.04,0.28
g_0,2.1,1.76,1.42,1.69,1.49,2.12,0.28,0.49,0.38,,0.4,0.3,0.18,,0.34,
