,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.34,1.42,0.78,0.84,0.71,0.51,1.35,1.25,1.69,1.32,1.65,0.87,1.38,1.85,1.72,0.9
e_1,0.92,2.34,0.74,0.96,0.66,0.64,1.88,1.35,2.96,1.8,1.96,1.75,1.68,2.13,1.97,1.04
d_1,0.91,0.83,2.41,0.68,0.69,0.73,1.51,1.42,0.97,3.17,2.22,1.89,1.52,2.18,1.98,1.54
c_1,0.87,0.83,0.81,2.47,1.39,0.64,1.28,1.12,1.58,0.93,1.08,1.37,1.4,2.0,1.68,1.18
b_1,0.82,0.78,0.88,0.83,2.64,1.36,1.4,1.33,1.65,1.38,0.83,1.54,0.99,2.02,1.71,1.27
a_1,0.9,0.79,0.95,0.82,0.85,3.01,1.63,1.54,1.68,1.65,1.48,1.69,0.93,2.7,2.0,1.31
h_1,1.27,0.84,0.95,0.95,0.72,0.6,3.3,1.87,2.03,1.91,1.8,1.66,1.4,1.65,2.85,1.61
g_1,0.82,0.84,1.52,0.86,0.67,0.74,1.39,3.59,1.38,1.85,1.74,2.41,1.3,2.07,1.94,1.48
d_0,0.96,0.84,0.61,1.64,0.9,0.65,1.67,1.43,3.03,1.23,1.67,1.68,1.58,2.27,1.94,1.43
c_0,1.09,0.98,0.92,0.69,0.62,0.66,1.76,1.88,2.07,3.17,3.99,2.04,2.1,2.4,2.03,1.89
b_0,1.15,0.93,0.98,0.99,0.65,0.55,1.72,1.85,1.87,1.79,3.18,1.45,3.36,2.81,2.2,1.5
f_0,0.8,0.8,1.01,1.05,0.9,0.78,1.97,1.48,2.14,1.88,1.98,3.39,1.52,2.46,2.39,3.58
a_0,1.23,0.9,0.95,0.96,0.73,0.47,1.93,1.85,2.02,1.87,2.21,1.86,3.53,2.27,2.33,1.46
h_0,1.41,1.0,1.05,0.92,0.77,0.52,1.12,2.12,1.61,1.62,1.69,1.76,1.57,1.67,2.73,1.4
g_0,0.92,0.86,1.31,0.9,0.77,0.81,1.8,1.14,1.74,1.68,1.58,2.66,1.7,2.43,1.52,1.73
e_0,1.02,0.74,1.02,1.15,0.8,0.67,1.56,1.88,1.77,1.83,1.93,1.46,1.73,2.56,2.29,3.61
