,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8354.16,314.06,185.38,188.84,347.92,2327.23,247376.11,519749.08,614546.29,1040028.86,1458788.14,,3708221.39,4609318.1,11151854.6,10638749.95
e_1,99.35,11587.13,202.87,195.33,514.35,2484.8,257683.1,379695.56,1190235.2,1371727.37,1223795.67,1808954.84,2551544.7,3851530.95,10142924.96,
c_1,125.04,153.79,15386.55,166.72,1058.52,2314.3,245456.26,417322.31,629866.43,,1177502.66,2038100.71,4190476.08,3397017.74,9801675.93,11354414.09
d_1,140.18,124.16,186.88,19611.13,444.37,2097.69,257611.32,437988.23,,2213017.51,1297603.56,1101923.52,4300256.49,4991334.58,16165376.22,7710797.96
b_1,94.86,131.62,207.18,206.1,44435.55,4941.77,252868.57,363047.48,698801.59,1196531.67,,1068911.42,4259460.13,3359617.11,16156268.36,11559680.35
a_1,165.7,186.82,190.85,170.12,413.31,309180.67,248475.19,450618.73,647422.74,1070765.87,,,4581377.01,,,
h_1,775.23,628.87,615.41,979.55,1776.94,7063.71,11560308.1,1686543.77,2236733.41,3916917.07,5682980.51,6220701.63,,16157415.97,60723831.66,36439766.75
g_1,295.0,643.25,802.52,1384.51,1195.98,7799.94,707773.97,26206295.53,1995848.34,3588286.84,7275713.42,10074634.86,14730059.6,19030892.28,,36317184.0
d_0,595.21,570.27,1671.43,,2186.84,8917.94,1326035.34,1849856.16,18040590.58,5688490.02,6752718.02,10163528.69,24611925.87,28233546.94,67499090.3,53291097.8
c_0,627.05,801.39,,1239.11,1843.88,6718.99,910572.21,1974446.92,3000881.02,37734358.84,18118519.76,10041178.2,17302775.49,24984755.24,84015164.36,73685892.94
b_0,569.02,738.63,642.7,1593.73,,,1321178.07,2895171.7,2607908.5,5805050.71,65407693.55,7180467.02,16239890.71,35106398.94,63309491.59,86280825.01
f_0,,617.16,990.4,1174.17,1479.16,,1111568.09,2015868.89,3475539.6,6086286.52,7678676.01,73703351.43,26112217.43,23629306.98,73049413.38,108888060.41
h_0,1267.46,977.06,1816.68,1888.41,3211.54,10425.98,,4595676.04,3430025.8,8564943.53,17505457.63,8307255.69,,46493991.29,109040356.08,85109999.62
a_0,456.6,633.58,1195.74,1466.22,1534.49,,1441434.93,1568456.59,2594901.48,4384689.65,9459516.08,9923130.86,13386997.75,270028177.65,78939515.7,
g_0,833.14,963.38,1074.75,2802.27,3251.03,,1732380.47,,2367409.74,6080439.94,18411119.42,21727637.97,26390472.42,39836151.54,,110959130.15
e_0,417.69,,989.66,1400.23,2857.57,,858970.26,2434021.26,4577969.41,4354824.89,9271466.39,11671037.73,18575038.39,,83301962.62,743270574.62
