,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11505.57,5299.41,5050.7,7873.62,10716.8,44653.43,5405423.49,25333807.14,13453083.91,21572890.39,35856522.66,41925736.77,119561978.97,176820832.02,161347513.73,303629894.55
f_1,6998.6,12392.24,5568.97,6478.99,9908.4,50642.11,4441705.73,14246179.98,12449805.5,22860490.47,32908466.49,25646974.61,132028842.45,151528995.71,158723428.54,259761818.71
d_1,3748.28,4804.75,19185.95,5186.05,12372.79,54101.31,5488080.44,8665258.57,14867657.83,45569235.23,39155646.85,46714469.14,155652934.57,205518212.45,254223332.98,303112435.47
c_1,3851.36,3978.28,6788.03,19448.28,20244.26,45503.96,5210677.13,13111026.19,12732063.95,14357235.01,27213686.45,42663253.72,147546176.53,171010841.25,240633870.53,271645413.39
b_1,3826.52,4133.19,6780.52,7150.05,39733.81,97043.98,4861052.94,12800468.17,11522140.8,23377074.78,22540436.1,37659680.32,120675016.54,130528106.17,220437223.76,315687876.0
a_1,3944.71,4795.8,7875.68,6274.4,11541.67,244286.06,6113303.93,15526250.92,13495432.39,23961799.97,39653871.55,45270377.02,144082624.22,126828118.31,207270827.9,323656340.1
h_1,4735.55,7191.18,7648.81,6381.03,10080.61,51254.19,11854471.07,15228267.13,17638869.11,23154435.97,40331336.09,42693482.55,127553221.87,220623749.24,208907791.07,416290707.75
d_0,4940.65,5298.43,4679.87,12608.3,11780.06,50071.4,6201497.68,23620734.35,13364037.31,18568076.54,35541989.93,45679923.2,139578063.05,155648842.87,217752062.51,320223621.34
g_1,3996.56,4545.22,10819.04,6791.06,13458.41,49693.56,6063233.29,14100247.35,34931878.05,24351119.56,32690438.43,73083670.87,148905743.59,221229858.44,259228645.85,263040831.82
c_0,4706.57,5958.62,8232.57,5038.09,9795.47,51492.94,6730887.3,15197805.06,13789122.67,48667167.13,69742352.35,52622927.87,149094272.62,239983531.85,301880206.05,354289964.04
b_0,4756.18,6076.24,7267.43,7893.0,7855.6,46481.53,6279756.03,15958511.52,15800349.22,25591745.02,62221699.42,47110049.71,170583580.75,425169654.41,251684530.46,346066229.38
f_0,4003.01,4359.35,8838.93,6962.06,12278.26,53350.08,7396457.88,15498740.28,15336134.62,25723472.62,45506285.05,89644820.43,151777952.3,247941473.98,519024159.5,388077697.24
h_0,3926.61,6478.48,7937.53,6915.71,12938.98,53073.86,4738383.36,14148736.88,19718725.12,28137112.63,43114380.77,51559924.31,117466837.77,205034949.7,269509473.17,434692698.66
a_0,4311.92,5576.59,8085.9,7042.93,10878.69,46604.17,7033129.34,15375594.26,19470376.71,29606849.32,41900959.32,47545102.94,178090883.86,462114287.03,300790525.59,375143239.78
e_0,3114.59,5989.14,7765.02,8087.26,13594.0,54129.47,7626393.5,15443276.43,14285362.96,25831021.85,42406394.47,52217976.37,198189151.9,227843480.94,548449296.23,396298846.31
g_0,3919.49,3804.42,10684.2,7908.86,12491.78,57179.02,6679668.79,13349272.85,10914659.34,25572711.63,44599828.67,75154844.5,160376747.92,185650243.73,293685752.17,321992812.62
