,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.01,0.07,0.12,0.15,0.12,0.22,0.26,0.28,0.37,0.26,0.25,0.29,0.33,,0.48,0.54
f_1,0.09,0.01,0.1,0.12,0.12,0.18,0.16,0.18,0.29,0.2,0.24,,0.2,0.32,0.35,0.34
d_1,0.07,0.07,0.01,0.06,0.09,0.1,0.14,,0.12,0.15,0.19,0.21,0.17,0.31,0.26,0.17
c_1,0.04,0.05,0.07,0.01,0.08,0.12,0.12,0.06,0.17,,0.19,0.26,0.21,0.24,0.29,0.21
b_1,0.04,0.03,0.04,0.03,0.01,0.12,0.08,0.1,0.11,0.1,,0.15,0.21,0.22,,0.15
a_1,0.01,0.01,0.01,0.01,0.01,,0.03,0.03,,0.04,0.04,0.03,0.04,,,
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
