,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.3,1.18,1.15,1.57,3.12,15.44,31.08,34.24,31.55,39.5,48.52,62.67,72.14,76.36,107.45
e_1,0.78,1.0,1.41,1.09,1.57,3.23,17.88,33.27,41.76,31.57,40.14,53.37,69.53,73.27,97.33,114.27
c_1,0.81,0.71,1.0,1.19,1.72,3.04,14.93,24.76,19.87,23.8,27.32,37.71,59.46,63.72,85.79,90.11
d_1,0.85,0.91,0.86,1.0,1.35,2.68,14.38,19.26,24.69,35.43,36.54,40.83,59.06,73.29,83.78,72.37
b_1,0.64,0.62,0.6,0.73,1.0,3.0,11.08,19.54,18.52,24.46,26.06,31.17,43.69,48.54,62.13,62.91
a_1,0.33,0.31,0.34,0.38,0.34,1.0,6.01,8.49,9.09,9.18,13.31,12.61,20.64,21.58,26.15,26.53
h_1,0.06,0.06,0.07,0.07,0.09,0.16,1.0,1.9,1.77,1.82,2.22,2.48,4.23,4.33,5.61,7.03
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.53,1.0,0.99,1.11,1.32,1.96,2.19,3.0,3.66,3.49
d_0,0.03,0.02,0.05,0.04,0.05,0.11,0.55,1.03,1.0,0.86,1.2,1.44,2.54,2.48,3.09,3.93
c_0,0.03,0.03,0.04,0.03,0.04,0.11,0.55,0.88,1.12,1.0,1.54,1.46,2.26,2.73,3.29,2.96
b_0,0.03,0.03,0.04,0.03,0.04,0.08,0.46,0.75,0.79,0.64,1.0,1.2,1.93,2.52,2.39,2.74
f_0,0.02,0.02,0.03,0.02,0.03,0.08,0.41,0.51,0.69,0.68,0.81,1.0,1.47,1.61,2.72,1.94
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.23,0.47,0.4,0.44,0.51,0.7,1.0,1.08,1.2,1.57
a_0,0.01,0.01,0.02,0.01,0.02,0.04,0.23,0.33,0.36,0.39,0.4,0.63,0.87,1.0,1.13,1.28
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.28,0.33,0.3,0.42,0.38,0.88,0.88,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.3,0.25,0.33,0.37,0.53,0.61,0.76,0.93,1.0
