,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.01,1.46,1.34,1.66,2.46,17.52,30.25,31.54,30.17,40.44,45.3,59.26,90.25,79.14,111.02
d_1,0.99,1.0,1.03,1.02,1.36,2.63,17.73,24.59,22.53,40.98,36.36,43.92,64.68,86.59,104.02,87.52
e_1,0.69,0.97,1.0,1.46,1.41,2.67,16.87,35.85,27.57,27.01,38.37,57.78,66.2,82.43,118.02,116.49
c_1,0.74,1.0,0.69,1.0,1.72,2.62,12.75,14.88,20.27,20.61,25.21,34.85,53.05,65.58,75.46,87.47
b_1,0.59,0.72,0.7,0.58,1.0,2.47,13.42,16.91,18.27,21.81,22.8,30.52,45.57,47.59,66.87,77.94
a_1,0.4,0.38,0.37,0.39,0.41,1.0,6.64,9.47,10.86,10.12,13.24,15.92,25.88,29.97,36.84,32.92
h_1,0.06,0.06,0.06,0.08,0.08,0.15,1.0,1.44,1.76,1.48,2.01,2.5,3.62,4.18,5.28,7.28
d_0,0.03,0.04,0.03,0.07,0.06,0.11,0.7,1.0,1.01,0.84,1.43,1.84,2.51,3.07,3.93,3.95
g_1,0.03,0.04,0.04,0.05,0.05,0.1,0.58,0.91,1.0,1.1,1.37,1.99,2.09,3.5,3.68,4.42
c_0,0.03,0.03,0.04,0.05,0.04,0.09,0.66,1.17,0.9,1.0,1.84,1.61,2.33,3.11,3.58,3.78
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.51,0.66,0.73,0.58,1.0,1.22,1.95,3.31,3.19,3.03
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.37,0.53,0.53,0.63,0.78,1.0,1.48,1.78,3.23,1.81
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.27,0.39,0.51,0.42,0.52,0.66,1.0,1.15,1.41,1.99
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.24,0.32,0.28,0.35,0.31,0.56,0.86,1.0,1.09,1.28
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.25,0.26,0.27,0.33,0.31,0.72,0.98,1.0,0.91
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.23,0.26,0.33,0.52,0.5,0.76,1.08,1.0
