,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.41,0.79,0.88,0.63,0.69,0.57,1.69,1.35,2.71,0.72,1.98,1.79,2.03,1.96,1.74,1.99
e_1,0.61,2.43,0.67,0.83,0.78,0.85,1.49,1.47,1.64,2.93,1.71,1.83,2.24,2.09,0.9,2.13
f_1,0.71,1.18,2.45,0.86,0.76,0.66,1.16,1.51,1.57,1.46,1.73,0.88,2.01,1.43,1.39,1.49
c_1,0.87,0.78,0.72,2.65,1.25,0.74,1.64,1.29,0.59,1.43,1.35,1.8,1.99,1.06,1.05,2.38
b_1,0.83,0.71,0.79,0.59,2.81,1.42,1.58,1.42,1.67,1.52,1.1,1.63,1.46,1.27,2.11,2.19
a_1,0.83,0.78,0.86,0.76,0.49,3.29,1.38,1.69,1.52,2.0,1.78,1.99,2.96,1.09,1.99,2.07
h_1,0.95,0.85,1.32,0.96,1.01,1.05,3.81,2.49,2.24,2.38,2.16,2.18,1.35,1.87,2.59,3.3
g_1,1.47,0.91,0.66,1.23,1.01,0.92,1.52,4.25,2.03,1.6,2.24,2.72,2.67,2.78,2.53,1.86
c_0,0.96,1.12,1.08,0.88,0.96,1.03,1.84,2.1,3.56,2.53,3.6,2.33,3.23,2.59,2.5,2.98
d_0,0.5,0.8,1.18,1.76,1.1,0.89,1.96,2.29,1.88,3.74,2.07,2.46,2.87,2.23,2.46,2.7
b_0,1.14,1.11,1.14,0.95,0.45,0.87,1.99,1.88,2.11,2.31,3.96,2.11,3.21,4.42,2.3,3.51
f_0,1.13,0.8,0.58,1.08,1.09,1.19,2.33,2.21,2.45,2.14,2.31,3.95,3.42,2.38,4.31,2.35
h_0,1.19,0.92,1.32,1.08,1.26,0.56,1.06,2.21,2.06,2.07,1.76,1.76,1.54,2.44,1.78,3.21
a_0,1.05,0.88,1.21,1.26,1.04,0.56,2.45,1.8,2.67,2.44,1.88,2.46,2.98,4.46,2.39,2.72
e_0,1.19,0.53,1.15,1.34,0.91,1.01,2.21,1.78,2.31,2.37,2.34,1.81,3.33,2.41,4.75,3.04
g_0,1.54,0.84,1.06,0.94,0.89,0.95,1.83,1.31,2.17,2.03,1.74,3.29,2.43,2.23,2.03,1.74
