,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.88,1.53,1.23,1.64,3.02,19.48,34.58,32.85,32.16,47.85,46.87,81.22,98.08,116.54,136.91
f_1,1.14,1.0,1.17,1.04,1.47,2.73,13.62,21.09,24.78,28.36,29.7,37.75,52.33,74.8,100.68,92.9
c_1,0.65,0.85,1.0,1.17,1.75,2.29,12.69,13.55,21.54,20.88,31.73,31.42,65.55,71.33,95.43,89.79
d_1,0.81,0.97,0.86,1.0,1.19,1.94,13.21,20.6,19.11,32.14,31.42,41.22,59.69,69.93,73.82,87.01
b_1,0.61,0.68,0.57,0.84,1.0,2.7,11.77,14.08,21.05,19.71,28.07,30.36,46.75,55.87,58.51,70.28
a_1,0.33,0.37,0.44,0.52,0.37,1.0,6.05,8.94,10.45,11.46,16.19,21.66,25.57,32.3,41.45,58.85
h_1,0.05,0.08,0.08,0.07,0.08,0.16,1.0,1.24,1.91,1.54,2.14,2.33,3.88,5.21,6.66,6.45
d_0,0.03,0.05,0.08,0.05,0.07,0.11,0.79,1.0,1.22,0.98,1.64,1.68,3.1,3.94,4.55,5.24
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.53,0.84,1.0,1.03,1.69,1.45,2.17,3.27,3.41,3.92
c_0,0.03,0.04,0.04,0.03,0.05,0.09,0.64,1.06,0.98,1.0,1.33,1.98,2.18,3.28,3.35,3.8
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.46,0.58,0.56,0.72,1.0,1.19,1.88,2.26,2.08,4.58
b_0,0.02,0.03,0.03,0.02,0.03,0.05,0.42,0.59,0.7,0.5,0.82,1.0,1.54,2.86,2.07,2.67
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.26,0.33,0.46,0.45,0.52,0.65,1.0,1.27,1.74,1.53
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.29,0.31,0.4,0.36,0.77,1.0,1.16,1.26
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.22,0.29,0.29,0.48,0.45,0.54,0.88,1.0,1.21
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.19,0.27,0.27,0.22,0.37,0.65,0.79,0.82,1.01
