,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.27,0.52,0.75,0.42,0.5,0.44,0.91,2.19,0.71,0.94,0.98,1.1,1.0,1.06,0.55,0.92
f_1,1.26,18.3,0.45,0.49,0.38,0.62,0.68,0.74,0.64,0.74,0.93,0.3,0.89,0.76,0.57,0.87
c_1,0.42,0.55,18.64,0.5,1.16,0.43,1.07,0.78,0.85,0.25,0.57,1.01,0.89,0.91,0.93,0.65
d_1,0.44,0.61,0.45,21.74,0.53,0.4,0.81,0.31,1.1,2.22,1.37,1.01,1.02,1.25,1.01,1.1
b_1,0.37,0.44,0.6,0.55,22.44,1.37,0.72,0.77,0.86,0.96,0.37,0.95,0.89,0.58,0.94,1.19
a_1,0.64,0.63,0.39,0.56,0.54,32.4,1.17,0.89,0.84,0.85,0.92,0.65,1.07,0.3,1.07,0.92
h_1,0.6,1.13,0.69,0.56,0.71,0.56,6.59,1.13,1.75,0.85,1.09,1.26,0.5,1.2,1.05,1.31
d_0,0.62,0.62,1.89,0.32,0.61,0.55,1.09,3.29,1.16,0.75,1.32,1.26,1.1,1.02,1.41,1.43
g_1,0.56,0.55,0.55,1.61,0.61,0.56,0.93,0.71,7.14,1.2,1.09,1.98,1.49,0.65,1.58,0.66
c_0,0.6,0.8,0.28,0.95,0.47,0.68,1.29,1.21,0.94,3.41,3.13,1.55,1.48,1.76,1.32,1.31
b_0,0.71,0.8,0.79,0.83,0.23,0.52,1.14,1.29,1.28,1.16,3.79,1.36,1.36,3.24,1.34,1.24
f_0,0.55,0.29,0.8,1.05,0.74,0.71,1.12,1.26,1.35,1.14,1.24,4.35,1.36,1.43,3.03,1.44
h_0,0.62,1.06,0.67,0.95,0.53,0.75,0.54,1.15,1.57,1.14,1.18,1.0,0.7,1.2,1.32,2.03
a_0,0.69,1.02,0.64,0.81,0.48,0.34,1.05,1.18,1.1,1.51,1.39,1.05,1.34,5.08,1.33,1.19
e_0,0.35,0.75,0.91,0.78,0.84,0.83,1.07,1.05,1.45,0.87,1.15,1.11,1.55,1.07,5.84,1.28
g_0,0.54,0.56,0.61,1.65,0.61,0.7,1.11,0.89,0.63,1.25,1.03,2.46,1.22,1.05,1.44,0.81
