,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.61,0.07,0.06,0.08,0.08,0.07,0.32,0.32,0.65,0.38,0.29,0.38,0.57,,0.46,0.53
d_1,0.09,5.87,0.08,0.07,0.09,0.08,0.28,0.34,,0.7,0.42,0.34,0.52,0.39,0.33,0.44
f_1,0.17,0.08,6.04,0.07,0.07,0.06,0.31,0.26,0.41,0.35,0.41,,0.43,0.24,0.4,0.61
c_1,0.07,0.07,0.07,6.76,0.13,0.08,0.26,0.35,0.51,,0.31,0.38,0.69,0.28,0.35,0.54
b_1,0.07,0.09,0.07,0.06,7.65,0.12,0.39,0.3,0.46,0.48,,0.39,0.57,0.27,,0.47
a_1,0.08,0.04,0.09,0.11,0.07,10.32,0.37,0.29,0.24,0.28,0.38,0.36,0.57,0.49,,0.71
h_1,0.24,0.27,0.45,0.24,0.34,0.25,15.04,1.49,1.37,1.45,0.96,0.86,,1.95,1.2,3.76
g_1,0.25,0.49,0.21,0.25,0.32,0.31,0.82,15.63,1.42,1.55,1.39,1.95,1.72,1.79,1.15,
d_0,0.49,,0.32,0.87,0.35,0.42,1.63,1.14,11.78,1.47,1.5,2.0,3.02,2.19,1.7,2.42
c_0,0.54,0.38,0.36,,0.29,0.31,1.26,1.5,1.31,12.98,2.85,2.52,3.91,1.55,1.69,2.33
b_0,0.28,0.43,0.53,0.4,,0.38,1.88,1.06,2.07,1.66,14.41,1.53,2.45,1.44,4.5,2.14
f_0,0.31,0.51,,0.32,0.44,0.32,1.77,0.61,2.38,1.46,1.91,14.95,3.78,2.67,2.19,2.94
h_0,0.31,0.45,0.88,0.45,0.53,0.63,,2.91,2.6,3.37,4.08,3.27,,2.98,2.28,5.91
e_0,,0.3,0.29,0.34,0.39,0.4,1.09,1.87,1.73,2.03,3.11,1.33,3.57,21.86,,4.09
a_0,0.33,0.4,0.44,0.33,,,1.28,1.15,2.2,1.9,2.31,2.31,2.6,,22.47,2.34
g_0,0.36,0.99,0.54,0.63,0.36,0.48,2.16,,2.31,2.21,2.27,4.14,6.44,3.31,2.77,
