,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.53,0.69,0.6,0.83,0.57,0.51,0.92,0.84,0.74,1.31,0.87,0.75,0.76,0.94,0.48,0.83
f_1,1.02,1.53,0.62,0.72,0.54,0.58,0.72,0.66,0.79,0.77,0.68,0.51,0.77,0.71,0.56,0.71
d_1,0.66,0.78,1.55,0.57,0.7,0.55,0.87,0.69,1.3,0.48,0.9,0.76,0.64,0.8,0.65,0.77
c_1,0.62,0.58,0.76,1.55,1.16,0.53,0.74,0.57,0.35,0.66,0.58,0.81,0.51,0.74,0.73,0.73
b_1,0.7,0.84,0.71,0.52,1.58,0.95,0.78,0.7,0.81,0.77,0.67,0.74,0.66,0.92,0.77,0.8
a_1,0.78,0.69,0.82,0.82,0.56,1.74,0.97,0.94,0.82,0.87,0.91,0.89,0.48,0.96,0.66,0.9
h_1,0.77,1.13,0.94,1.03,0.87,0.65,1.7,1.12,0.96,0.95,1.1,0.87,0.88,0.74,0.79,1.37
g_1,0.76,0.82,1.27,1.15,0.85,0.57,1.08,1.83,1.02,0.99,1.07,1.52,0.93,0.98,0.97,0.76
c_0,1.0,1.07,0.9,0.82,0.82,0.67,1.13,1.16,1.6,1.09,1.71,1.16,1.24,1.29,0.9,1.2
d_0,0.86,1.04,0.66,1.54,0.89,0.78,1.19,0.96,0.85,1.6,1.03,1.02,0.73,1.02,0.79,1.0
b_0,0.83,1.21,0.95,1.15,0.52,0.56,1.06,1.02,1.14,1.07,1.69,1.11,1.9,1.48,0.93,1.13
f_0,0.88,0.76,1.09,1.04,1.05,0.78,1.29,0.9,1.11,1.04,1.16,1.69,0.89,1.3,1.76,1.02
a_0,1.05,0.99,1.02,1.27,0.84,0.56,1.16,1.06,1.03,1.4,0.93,1.13,1.76,1.32,0.9,1.49
h_0,1.01,1.39,1.1,0.95,0.89,0.65,0.95,1.36,1.17,1.28,0.99,0.88,0.95,0.87,0.92,1.36
e_0,0.76,1.12,1.18,1.0,1.09,0.89,1.19,1.12,1.42,1.24,1.28,1.0,1.08,1.39,1.74,1.25
g_0,0.84,0.96,1.43,1.04,0.97,0.74,1.03,0.96,1.2,1.08,1.12,1.61,0.79,1.18,1.29,1.01
