,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.38,1.58,1.47,1.31,1.1,0.45,0.54,0.41,0.44,0.39,0.42,0.29,0.34,0.35,0.3
d_1,1.63,1.04,1.7,1.49,1.35,1.17,0.54,0.42,0.52,0.55,0.48,0.42,0.34,0.41,0.38,0.24
e_1,1.2,1.56,1.05,1.66,1.54,1.37,0.63,0.62,0.48,0.56,0.42,0.54,0.38,0.41,0.52,0.43
c_1,1.75,1.97,1.47,1.05,1.74,1.37,0.62,0.61,0.61,0.35,0.49,0.45,0.4,0.45,0.41,0.41
b_1,2.02,2.04,1.84,1.23,1.05,1.94,0.8,0.69,0.68,0.54,0.6,0.56,0.44,0.51,0.5,0.4
a_1,2.73,2.66,2.48,2.25,1.42,1.06,1.08,1.03,0.71,0.78,0.88,0.72,0.62,0.73,0.69,0.55
h_1,5.24,4.27,4.1,4.45,4.01,3.18,1.24,1.59,1.2,1.33,1.16,1.11,1.2,1.06,1.06,0.96
g_1,5.06,5.28,4.71,4.99,4.95,3.55,1.52,1.25,1.39,1.43,1.31,1.41,0.99,1.35,1.18,1.13
c_0,5.67,3.69,5.68,6.66,4.81,4.56,2.09,1.84,1.32,2.29,1.72,1.42,1.32,1.49,1.33,1.04
d_0,5.38,7.01,3.67,6.06,5.31,4.73,2.09,2.36,1.51,1.35,1.42,1.76,1.38,1.49,1.46,1.51
b_0,6.15,4.85,5.57,6.92,6.67,4.78,2.34,2.15,1.23,2.03,1.38,1.61,1.41,1.87,1.55,1.26
f_0,8.24,6.17,5.98,6.26,5.5,5.24,2.25,1.82,1.87,1.85,1.79,1.36,1.62,1.67,1.77,1.02
h_0,7.25,6.88,6.66,6.51,5.81,4.77,2.56,2.65,1.95,2.1,1.88,1.72,1.72,1.58,1.68,1.57
a_0,8.36,6.69,7.15,6.92,7.84,7.25,3.01,2.57,1.97,2.12,1.41,2.05,1.9,1.43,1.89,1.67
e_0,10.14,7.44,7.57,7.73,6.92,5.95,2.9,2.58,2.2,2.36,2.17,1.45,1.95,2.03,1.43,1.42
g_0,9.47,8.99,7.15,7.61,7.75,6.35,2.55,3.0,2.5,2.32,2.23,2.14,1.61,2.17,2.2,1.93
