,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.52,0.83,0.66,0.58,0.68,0.67,0.8,0.74,0.67,1.41,0.97,0.89,1.0,0.83,0.81,0.78
f_1,0.71,1.52,1.17,0.73,0.6,0.48,0.78,0.79,0.86,0.8,0.74,0.49,0.83,0.69,0.94,0.44
e_1,0.74,0.68,1.53,0.8,0.74,0.6,0.93,0.75,1.4,0.94,0.92,0.85,0.88,0.76,0.82,0.48
c_1,0.82,0.72,0.7,1.59,1.12,0.53,0.92,0.85,0.76,0.43,0.64,0.95,1.02,0.73,0.75,0.71
b_1,0.83,0.81,0.77,0.66,1.62,1.06,0.77,0.75,0.85,0.82,0.62,0.93,0.9,0.76,0.97,0.77
a_1,0.86,0.87,0.78,0.85,0.61,1.76,1.06,1.05,0.96,0.95,1.09,0.91,1.07,0.68,1.08,0.89
h_1,1.08,1.32,0.86,0.97,0.88,0.68,1.76,1.39,1.15,1.02,1.01,0.98,1.06,0.99,1.32,1.02
g_1,1.39,0.98,0.9,0.97,0.97,0.66,1.01,1.81,1.02,1.19,1.12,1.43,1.17,0.9,0.71,1.04
d_0,0.86,1.04,0.85,1.67,0.92,0.76,1.2,1.16,1.63,1.03,1.24,0.9,1.29,0.83,1.12,1.2
c_0,0.98,1.19,0.97,0.92,0.85,0.81,1.41,1.09,1.38,1.6,2.01,1.14,1.37,1.21,1.09,1.21
b_0,1.13,1.27,1.0,1.17,0.7,0.75,1.32,1.09,1.07,1.01,1.69,1.02,1.4,1.64,1.35,0.89
f_0,1.16,0.97,0.95,0.94,0.96,0.89,1.23,1.01,1.37,1.34,1.32,1.72,1.3,1.24,1.15,2.14
h_0,1.18,1.52,1.15,0.92,0.94,0.69,0.88,1.36,1.1,1.22,1.31,1.13,1.11,1.04,1.54,0.86
a_0,1.06,1.32,1.15,1.11,0.99,0.5,1.33,1.19,1.48,1.4,1.2,1.07,1.51,1.76,1.3,0.96
g_0,1.56,0.98,1.05,1.15,0.92,0.71,1.02,1.05,1.1,1.38,1.32,1.68,1.27,1.13,1.07,1.19
e_0,1.31,1.43,0.95,1.02,1.09,0.87,1.23,1.2,1.14,1.19,1.6,0.95,1.63,1.14,1.22,1.8
