,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.14,1.92,1.78,3.24,21.04,31.98,39.25,30.79,39.48,45.33,90.22,84.97,97.44,151.8
f_1,1.2,1.0,1.16,1.32,1.27,2.85,15.47,25.7,23.71,24.58,35.3,35.91,67.47,72.06,70.41,137.59
d_1,0.88,0.87,1.0,1.08,1.33,2.8,15.61,16.77,22.7,31.66,37.17,30.18,71.04,69.87,71.87,91.48
c_1,0.52,0.75,0.93,1.0,1.47,2.35,16.37,18.2,13.71,16.22,25.06,28.21,59.38,67.93,66.57,103.26
b_1,0.56,0.79,0.75,0.68,1.0,3.15,14.82,16.92,16.05,20.81,21.97,26.95,51.83,43.16,62.19,82.89
a_1,0.31,0.35,0.35,0.43,0.32,1.0,6.92,8.75,7.84,8.94,12.32,12.52,29.77,32.88,24.44,53.12
h_1,0.05,0.06,0.06,0.06,0.07,0.14,1.0,1.63,1.37,1.31,1.65,1.72,3.94,3.74,3.92,8.58
g_1,0.03,0.04,0.06,0.05,0.06,0.11,0.62,1.0,1.03,1.1,1.43,1.94,2.55,3.07,2.74,5.23
d_0,0.03,0.04,0.04,0.07,0.06,0.13,0.73,0.95,1.0,0.97,1.38,1.45,3.21,3.67,3.31,4.78
c_0,0.03,0.04,0.03,0.06,0.05,0.12,0.77,0.93,1.07,1.0,1.76,1.45,3.02,3.18,3.14,4.38
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.58,0.69,0.72,0.6,1.0,1.09,2.43,2.89,2.22,4.08
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.57,0.53,0.69,0.69,0.85,1.0,2.17,2.08,3.11,2.85
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.38,0.31,0.33,0.43,0.47,1.0,1.04,0.91,1.99
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.27,0.34,0.29,0.32,0.33,0.49,1.0,1.0,1.01,1.67
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.33,0.31,0.31,0.47,0.32,1.12,0.92,1.0,1.48
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.21,0.2,0.22,0.24,0.34,0.48,0.62,0.68,1.0
