,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.96,0.57,0.58,0.7,0.56,0.43,0.41,0.37,0.58,0.33,0.38,0.34,0.36,0.29,0.26,0.3
f_1,0.93,0.96,0.54,0.62,0.46,0.39,0.38,0.35,0.4,0.34,0.28,0.34,0.32,0.25,0.2,0.31
d_1,0.63,0.74,0.96,0.52,0.48,0.39,0.4,0.34,0.32,0.58,0.35,0.43,0.36,0.3,0.29,0.29
c_1,0.62,0.65,0.62,0.95,0.86,0.4,0.4,0.37,0.34,0.27,0.33,0.25,0.36,0.25,0.27,0.29
b_1,0.64,0.72,0.66,0.56,0.95,0.74,0.45,0.43,0.43,0.4,0.36,0.3,0.36,0.24,0.26,0.29
a_1,0.81,0.76,0.78,0.82,0.52,0.94,0.53,0.44,0.49,0.46,0.41,0.42,0.42,0.27,0.36,0.34
h_1,0.97,1.18,0.98,0.92,0.67,0.57,0.81,0.75,0.59,0.51,0.53,0.49,0.51,0.41,0.41,0.51
g_1,0.91,1.03,1.29,0.84,0.81,0.6,0.53,0.8,0.52,0.64,0.68,0.5,0.5,0.44,0.48,0.46
d_0,0.92,1.09,0.84,1.38,0.92,0.57,0.62,0.57,0.74,0.41,0.5,0.5,0.61,0.45,0.41,0.42
c_0,1.06,1.14,0.96,1.0,0.66,0.66,0.73,0.59,0.75,0.76,0.65,0.89,0.61,0.52,0.47,0.55
f_0,0.97,1.08,1.08,1.01,0.94,0.68,0.69,0.62,0.68,0.6,0.75,0.63,0.59,0.47,0.78,0.48
b_0,1.09,1.22,1.0,1.17,0.75,0.6,0.62,0.64,0.68,0.57,0.57,0.74,0.65,0.73,0.44,0.54
h_0,1.11,1.46,1.21,0.94,0.92,0.65,0.59,0.77,0.58,0.68,0.59,0.59,0.57,0.46,0.42,0.6
a_0,1.2,1.25,1.14,1.11,1.01,0.8,0.8,0.66,0.7,0.67,0.6,0.55,0.69,0.68,0.46,0.59
e_0,1.11,1.41,1.18,1.15,0.97,0.65,0.82,0.71,0.72,0.72,0.56,0.73,0.73,0.5,0.68,0.56
g_0,1.17,1.16,1.51,1.1,0.97,0.72,0.72,0.67,0.67,0.77,0.85,0.67,0.65,0.56,0.62,0.52
