,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8434.11,231.22,165.69,309.84,440.0,916.37,213065.06,646712.09,592593.07,666312.92,2109861.76,,10448892.41,5616349.44,4955602.45,16034881.04
e_1,105.27,9952.79,229.96,248.34,484.08,2130.93,177028.05,882269.1,486821.57,860804.26,1271999.54,3135380.24,7534235.93,,6828909.46,22096354.99
d_1,115.31,142.77,15686.32,200.43,417.75,2420.51,170256.15,,430021.54,1424763.85,2056702.29,3434253.07,8527500.11,7853852.36,10471803.14,18151979.01
c_1,140.51,129.67,198.75,20964.49,715.05,2106.77,180403.16,698156.94,291616.11,,1687183.47,3918847.03,12533426.77,5944235.81,6736800.58,16486122.54
b_1,136.45,211.7,193.58,276.4,47051.2,,176722.37,547129.87,535624.17,521956.04,,2632381.87,7195306.44,,,20456354.77
a_1,125.68,118.56,252.34,199.74,,252970.83,115467.13,663899.87,,876950.82,1735525.59,4376657.61,11033616.9,,,31655851.88
h_1,693.97,409.16,894.76,722.63,1434.88,7384.34,7987850.9,1932940.66,2805045.31,3010066.5,5667255.74,8718630.28,,33398861.8,26138239.67,117466254.97
d_0,841.9,843.84,,2891.9,1798.77,6311.61,759651.53,16391821.72,1507033.4,2753581.35,8073278.26,14787234.44,45523865.52,38228117.1,34587344.04,134634027.93
g_1,362.27,393.01,1023.7,1079.49,2099.96,,380373.85,1913651.86,29052255.01,2633081.82,9671595.13,19919139.57,29038200.99,33839685.29,26319755.23,
c_0,618.04,551.03,812.69,,2352.52,5876.5,1137588.67,1990671.9,2338571.61,24432390.65,16652448.62,15195281.7,58975417.48,41068596.39,39112948.94,140117863.62
b_0,360.66,805.81,1093.96,989.84,,6830.81,1027676.72,2410357.71,3171396.26,3863085.18,70772906.64,22613853.57,54340493.08,46790675.96,71417347.51,79684710.97
f_0,,642.21,1214.99,1135.99,4006.95,7839.38,786276.15,3208849.37,2339778.93,3800120.23,10027481.18,134754984.45,41575947.72,87614755.65,33915389.28,97982398.68
h_0,1185.71,1041.19,1125.59,1378.16,3937.12,18913.02,,4869172.36,3311656.01,6050903.88,16837595.66,20806728.17,,72004304.45,68731381.52,158853329.26
e_0,590.18,,947.56,932.58,,,1188275.34,4087647.96,3041282.89,4094551.03,8643523.03,20895890.76,48636986.78,414155487.18,,
a_0,643.83,474.5,997.43,1332.26,,,1320305.93,2588843.71,2881215.37,3899572.41,8643523.03,19666720.72,35837779.73,,414155487.18,120656011.6
g_0,729.55,785.47,2594.61,1969.09,5834.23,12365.54,1040762.33,3222185.04,,3458171.3,16790314.98,40694737.25,48428530.64,,69957395.0,
