,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.44,38.59,36.7,36.1,34.48,31.69,8.22,,6.83,5.71,7.77,6.26,5.15,6.28,7.5,2.48
f_1,28.15,0.44,26.75,47.19,39.58,22.63,5.72,7.59,8.11,9.87,8.67,,3.95,7.53,6.2,4.86
e_1,32.94,19.65,0.43,35.19,31.58,38.62,10.77,6.81,5.88,15.65,10.46,7.75,4.6,7.34,,5.87
c_1,40.25,36.78,39.48,0.42,32.86,,8.25,4.15,,9.06,5.97,6.35,5.58,8.44,7.99,6.03
b_1,52.26,35.33,35.7,20.6,0.39,54.2,10.18,7.87,7.69,9.93,,7.07,6.04,9.57,6.67,5.36
a_1,47.04,39.78,65.56,,27.28,0.34,9.44,5.98,8.64,11.57,11.5,,5.91,,,5.38
h_1,14.62,13.42,19.54,16.6,13.35,27.56,0.37,4.04,3.33,5.44,3.43,4.57,,3.06,5.34,3.24
d_0,,15.35,8.5,13.95,12.81,15.97,3.64,0.51,3.29,4.74,3.57,3.05,2.03,3.93,2.63,2.55
c_0,9.87,14.8,17.59,,21.29,15.09,4.25,3.53,0.49,4.5,2.67,2.74,2.19,2.64,2.08,2.92
g_1,31.01,28.04,22.4,17.83,20.26,20.32,4.82,5.51,4.71,0.33,3.93,4.5,1.48,,4.14,
b_0,13.14,22.06,22.8,22.78,,17.03,5.95,2.58,1.74,4.56,0.46,3.24,2.24,2.93,,2.46
f_0,14.28,,22.83,16.0,15.48,,5.97,3.71,3.5,3.35,3.15,0.46,2.89,4.91,2.65,1.45
h_0,14.52,10.41,11.38,12.08,14.03,13.37,,2.35,3.07,2.76,2.16,2.15,,2.43,2.3,2.04
a_0,20.51,37.58,23.82,17.07,27.45,,5.63,4.22,3.61,,2.89,3.45,2.46,0.37,,2.64
e_0,19.95,33.75,,19.93,19.29,,6.12,5.39,4.96,5.96,,1.97,3.06,,0.38,2.05
g_0,15.9,14.25,16.37,11.73,25.16,15.15,4.26,2.8,3.61,,2.87,3.16,1.33,2.43,3.12,
