,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.4,1.08,0.99,1.12,0.67,0.55,0.6,0.54,0.49,0.63,,0.6,0.55,0.57,0.58
e_1,0.72,1.0,1.05,0.85,0.97,0.77,0.63,0.89,0.76,0.93,0.63,0.54,0.65,0.5,,0.51
c_1,0.93,0.95,1.0,1.21,1.28,0.94,0.75,0.55,0.59,,0.56,0.6,0.71,0.68,0.52,0.51
d_1,1.01,1.18,0.83,1.0,1.03,0.79,0.75,,0.5,1.07,0.64,0.61,0.58,0.62,0.57,0.47
b_1,0.9,1.03,0.78,0.97,1.0,1.29,1.02,0.7,0.69,0.73,,0.81,0.64,0.61,0.7,0.4
a_1,1.49,1.3,1.06,1.26,0.77,1.0,0.81,0.71,,0.63,,0.74,0.74,,,0.66
h_1,1.82,1.58,1.33,1.34,0.98,1.24,1.0,0.81,1.27,0.99,0.76,0.78,,0.77,0.94,0.96
d_0,1.67,1.12,1.81,,1.42,1.4,1.23,1.0,0.92,0.78,1.1,0.76,0.75,0.8,0.73,1.12
g_1,1.85,1.32,1.69,2.0,1.46,,0.79,1.09,1.0,1.14,0.84,1.09,0.68,0.91,0.88,
c_0,2.03,1.08,,0.93,1.37,1.58,1.01,1.29,0.88,1.0,1.21,0.99,1.03,1.1,0.71,0.82
b_0,1.58,1.6,1.78,1.55,,,1.31,0.91,1.19,0.83,1.0,1.09,1.09,1.15,0.89,0.89
f_0,,1.84,1.68,1.65,1.23,1.35,1.29,1.31,0.92,1.01,0.91,1.0,0.91,0.94,1.3,0.79
h_0,1.66,1.54,1.4,1.72,1.57,1.34,,1.33,1.48,0.97,0.92,1.1,,0.9,0.8,1.13
a_0,1.83,2.0,1.47,1.62,1.65,,1.3,1.25,1.09,0.91,0.87,1.07,1.11,1.0,,0.97
e_0,1.76,,1.92,1.75,1.43,,1.07,1.36,1.13,1.4,1.13,0.77,1.26,,1.0,1.12
g_0,1.71,1.94,1.98,2.13,2.49,1.53,1.04,0.89,,1.21,1.12,1.27,0.88,1.03,0.89,
