,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.39,0.92,1.07,0.96,0.76,1.02,1.22,1.05,1.03,1.06,0.8,1.0,0.83,0.75,1.08
e_1,1.02,1.53,0.86,1.19,0.9,0.83,1.26,1.82,1.06,1.11,1.11,1.19,1.26,1.03,0.96,1.19
d_1,1.23,1.08,1.57,0.79,0.85,0.85,1.17,1.02,1.03,1.77,1.29,1.08,1.35,1.18,1.07,1.01
c_1,1.05,0.96,1.07,1.59,1.46,0.85,1.21,1.04,1.08,0.89,0.98,1.03,1.26,0.93,0.97,1.12
b_1,1.02,1.08,1.18,0.91,1.64,1.51,1.29,1.13,1.14,1.1,0.86,1.15,1.18,0.9,0.96,1.14
a_1,1.24,1.12,1.16,1.14,0.86,1.77,1.32,1.33,1.23,1.31,1.43,1.38,1.44,1.13,1.34,1.35
h_1,1.54,1.25,1.36,1.15,1.15,0.95,1.86,1.45,1.7,1.42,1.34,1.21,1.32,1.19,1.3,1.59
d_0,1.35,1.1,1.04,1.92,1.49,0.97,1.48,1.83,1.28,1.13,1.27,1.45,1.54,1.23,1.34,1.49
g_1,1.25,1.24,1.73,1.24,1.21,0.98,1.29,1.41,1.93,1.51,1.54,1.83,1.52,1.36,1.47,1.28
c_0,1.49,1.27,1.35,1.16,1.14,1.05,1.62,1.62,1.65,1.88,2.24,1.52,1.66,1.63,1.42,1.58
b_0,1.55,1.42,1.4,1.43,1.12,0.71,1.75,1.66,1.49,1.38,1.88,1.47,1.7,2.21,1.36,1.44
f_0,1.42,1.18,1.65,1.38,1.39,1.07,1.6,1.44,1.46,1.65,1.59,1.91,1.92,1.45,2.17,1.57
h_0,1.8,1.32,1.43,1.29,1.31,1.15,1.45,1.52,1.68,1.62,1.58,1.47,1.56,1.37,1.43,1.65
a_0,1.63,1.37,1.47,1.45,1.42,0.81,1.74,1.67,1.53,1.67,1.47,1.59,1.81,1.94,1.43,1.36
e_0,1.66,1.3,1.57,1.3,1.44,1.09,1.68,1.55,1.55,1.56,1.78,1.41,1.7,1.37,1.95,1.83
g_0,1.42,1.3,1.89,1.3,1.35,1.16,1.6,1.46,1.6,1.69,1.69,2.06,1.7,1.62,1.38,1.57
