,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.65,1.01,1.31,0.99,1.05,1.26,1.39,0.97,0.85,1.15,1.26,1.04,1.26,0.89,1.09
f_1,1.54,1.0,0.88,0.86,0.86,0.86,0.83,1.0,1.03,1.06,1.04,0.73,0.87,0.8,1.12,0.99
d_1,0.99,1.14,1.0,0.93,0.99,0.9,1.02,0.95,0.89,1.34,0.97,1.04,0.96,1.07,0.93,0.78
c_1,0.77,1.16,1.07,1.0,1.45,1.0,0.95,0.72,0.87,0.75,1.05,0.89,1.14,0.91,0.9,1.12
b_1,1.01,1.17,1.01,0.69,1.0,1.53,1.02,0.99,0.96,1.04,0.96,1.24,1.07,1.01,0.87,1.04
a_1,0.95,1.16,1.12,1.0,0.65,1.0,1.0,1.14,1.06,0.91,0.83,1.31,1.19,1.13,1.05,1.04
h_1,0.76,1.23,1.01,1.05,0.99,1.0,1.0,0.95,1.24,0.92,0.96,0.94,0.91,0.95,0.9,1.2
d_0,0.68,1.04,1.01,1.42,0.99,0.87,1.05,1.0,1.23,0.9,1.06,1.05,0.83,1.08,1.15,1.05
g_1,1.0,0.97,1.12,1.11,1.09,0.87,0.81,0.77,1.0,0.97,1.24,0.89,0.85,0.94,0.91,0.85
c_0,1.12,0.98,0.79,1.38,0.89,1.11,1.14,1.15,1.06,1.0,1.15,1.32,0.95,0.97,0.96,1.1
f_0,0.87,1.04,1.0,1.07,0.97,1.08,1.06,0.99,0.88,0.86,1.0,1.11,0.95,1.49,1.16,0.84
b_0,0.78,1.39,0.96,1.26,0.79,0.74,1.02,0.93,1.13,0.75,0.88,1.0,1.01,1.16,1.43,1.08
h_0,0.96,1.15,1.03,0.95,0.91,0.84,1.11,1.09,1.2,0.99,1.04,1.02,1.0,0.82,1.0,1.07
e_0,0.79,1.49,0.97,1.1,0.95,0.88,1.07,1.02,1.11,1.07,0.64,0.88,1.3,1.0,1.34,1.14
a_0,1.11,0.89,1.09,1.21,1.09,0.89,1.09,0.88,1.06,1.04,0.82,0.7,1.02,0.71,1.0,0.88
g_0,0.87,0.99,1.29,0.86,0.9,0.89,0.82,0.94,1.21,0.93,1.23,0.93,0.95,0.9,1.09,1.0
