,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.97,1.03,0.99,1.12,0.94,1.05,1.5,0.8,0.93,0.96,1.04,0.86,,1.11
f_1,1.22,1.0,1.18,1.0,1.02,0.95,0.85,0.98,1.1,1.08,1.1,,0.74,0.85,0.76,0.85
c_1,1.03,0.85,1.0,1.06,1.19,0.87,1.38,1.0,0.75,1.04,,1.26,0.95,0.97,0.89,1.06
d_1,0.97,1.0,0.94,1.0,1.26,1.07,0.95,0.88,,1.15,1.68,0.89,,0.88,1.29,0.56
b_1,1.01,0.98,0.84,0.8,1.0,1.33,0.92,1.2,0.89,,1.26,0.72,1.07,1.0,0.97,1.58
a_1,0.89,1.05,1.15,0.94,0.75,1.0,1.24,1.03,1.09,1.06,1.0,1.13,,1.05,,0.9
h_1,1.06,1.18,0.73,1.05,1.09,0.8,1.0,1.15,1.06,0.75,0.81,1.0,1.08,,1.14,1.28
g_1,0.95,1.02,1.0,1.14,0.84,0.97,0.87,1.0,0.88,1.26,0.98,1.27,,0.92,1.03,
d_0,0.67,0.91,1.33,,1.12,0.92,0.94,1.13,1.0,1.37,0.81,0.87,0.82,1.13,1.31,1.07
b_0,1.25,0.93,0.96,0.87,,0.94,1.33,0.79,0.73,1.0,0.83,1.11,1.66,1.02,0.94,0.96
c_0,1.07,0.91,,0.59,0.79,1.0,1.24,1.02,1.23,1.2,1.0,0.96,1.0,1.11,1.39,0.93
f_0,1.04,,0.79,1.12,1.4,0.89,1.0,0.78,1.15,0.9,1.05,1.0,0.97,1.14,1.08,0.92
a_0,0.96,1.35,1.05,,0.94,,0.93,,1.21,0.6,1.0,1.03,1.0,1.08,,0.91
h_0,1.16,1.18,1.03,1.14,1.0,0.96,,1.09,0.88,0.98,0.9,0.88,0.93,,0.74,1.07
e_0,,1.32,1.13,0.77,1.03,,0.88,0.97,0.76,1.06,0.72,0.92,,1.35,1.0,1.04
g_0,0.9,1.18,0.94,1.77,0.63,1.11,0.78,,0.93,1.04,1.07,1.09,1.1,0.94,0.96,
