,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.44,0.59,0.69,0.61,0.59,0.32,0.39,0.26,0.31,0.29,0.32,0.23,0.27,0.32,0.25
f_1,0.65,0.4,0.56,0.59,0.57,0.49,0.27,0.33,0.24,0.28,0.27,0.26,0.18,0.26,0.24,0.23
d_1,0.66,0.63,0.39,0.56,0.56,0.52,0.33,0.23,0.3,0.33,0.27,0.25,0.2,0.24,0.27,0.17
c_1,0.48,0.57,0.75,0.37,0.72,0.6,0.31,0.31,0.29,0.18,0.25,0.25,0.22,0.27,0.23,0.21
b_1,0.59,0.65,0.6,0.4,0.36,0.8,0.35,0.32,0.36,0.26,0.31,0.27,0.27,0.23,0.25,0.23
a_1,0.64,0.76,0.57,0.62,0.35,0.31,0.36,0.34,0.3,0.34,0.34,0.26,0.25,0.36,0.28,0.25
h_1,0.58,0.59,0.56,0.61,0.52,0.47,0.23,0.32,0.24,0.25,0.25,0.24,0.23,0.25,0.21,0.24
g_1,0.51,0.57,0.63,0.61,0.59,0.52,0.24,0.21,0.28,0.26,0.23,0.26,0.2,0.23,0.24,0.23
c_0,0.62,0.66,0.41,0.76,0.52,0.5,0.34,0.28,0.22,0.36,0.29,0.25,0.22,0.28,0.25,0.21
d_0,0.43,0.53,0.7,0.71,0.62,0.48,0.31,0.35,0.24,0.23,0.28,0.26,0.25,0.25,0.25,0.24
b_0,0.55,0.6,0.52,0.76,0.64,0.5,0.31,0.32,0.18,0.26,0.21,0.24,0.21,0.28,0.24,0.21
f_0,0.5,0.7,0.62,0.57,0.55,0.53,0.3,0.23,0.26,0.26,0.25,0.21,0.22,0.25,0.28,0.17
h_0,0.57,0.62,0.55,0.58,0.5,0.52,0.35,0.3,0.26,0.26,0.26,0.23,0.24,0.23,0.25,0.25
a_0,0.53,0.58,0.55,0.61,0.69,0.53,0.29,0.33,0.21,0.26,0.17,0.27,0.24,0.19,0.27,0.19
e_0,0.53,0.67,0.55,0.55,0.53,0.53,0.34,0.28,0.25,0.25,0.28,0.18,0.2,0.23,0.18,0.22
g_0,0.56,0.59,0.62,0.57,0.56,0.46,0.26,0.31,0.25,0.25,0.28,0.28,0.17,0.24,0.26,0.25
