,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.04,1.65,1.73,1.43,1.42,1.26,0.51,0.42,0.54,0.48,0.62,0.42,0.32,0.38,0.37,0.25
f_1,1.53,1.04,1.67,1.58,1.41,1.26,0.5,0.59,0.47,0.45,0.49,0.46,0.31,0.4,0.38,0.35
e_1,1.52,1.13,1.04,1.77,1.47,1.29,0.62,0.67,0.5,0.47,0.56,0.57,0.4,0.44,0.57,0.38
c_1,2.03,1.76,1.34,1.05,1.83,1.45,0.67,0.66,0.54,0.45,0.32,0.45,0.39,0.47,0.42,0.34
b_1,1.93,1.99,1.82,1.22,1.05,2.09,0.73,0.7,0.71,0.64,0.47,0.52,0.46,0.49,0.48,0.41
a_1,2.39,2.42,2.39,2.14,1.32,1.06,0.92,0.88,0.75,0.89,0.8,0.63,0.58,0.79,0.68,0.52
h_1,4.46,4.62,4.15,4.1,4.16,3.35,1.24,1.69,1.27,1.18,1.18,1.23,1.03,1.09,1.07,0.94
g_1,5.0,5.35,4.47,4.56,4.62,3.99,1.5,1.24,1.46,1.33,1.32,1.38,0.95,1.2,1.17,1.09
c_0,3.5,5.8,5.05,6.0,4.45,4.29,1.92,1.58,1.31,1.8,1.76,1.47,1.19,1.52,1.34,1.11
b_0,4.49,5.87,5.89,6.44,5.63,3.95,1.97,1.87,1.13,1.33,1.66,1.4,1.25,1.49,1.35,1.13
d_0,5.75,5.08,3.83,6.58,6.73,4.36,2.58,2.4,1.57,1.51,1.37,1.71,1.32,1.49,1.76,1.29
f_0,6.16,7.48,5.86,6.0,5.78,5.19,2.29,1.66,1.75,1.76,1.7,1.35,1.35,1.54,2.09,0.98
h_0,6.41,7.64,6.63,7.32,6.56,5.04,3.01,2.43,1.88,2.04,2.03,1.88,1.75,1.7,1.73,1.6
a_0,6.96,7.39,7.21,7.49,7.12,5.6,2.6,2.69,1.85,1.45,2.18,2.16,1.75,1.41,1.74,1.62
e_0,7.35,9.8,8.35,7.89,6.8,6.28,2.81,2.3,2.12,2.06,1.96,1.23,1.51,2.04,1.4,1.45
g_0,8.85,8.85,8.53,8.07,7.46,7.13,2.54,3.45,2.38,2.6,2.5,2.48,1.57,1.93,1.98,1.97
