,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.17,0.87,0.91,0.69,0.49,0.58,0.4,0.46,0.41,0.44,0.36,0.34,0.33,0.33
f_1,1.26,1.0,0.97,0.91,0.75,0.64,0.39,0.46,0.39,0.44,0.42,0.36,0.3,0.32,0.27,0.32
c_1,0.86,1.03,1.0,1.1,1.17,0.76,0.53,0.35,0.4,0.44,0.32,0.38,0.36,0.33,0.33,0.33
d_1,1.12,1.11,0.9,1.0,0.87,0.78,0.47,0.45,0.51,0.36,0.49,0.4,0.34,0.37,0.32,0.27
b_1,1.12,1.3,0.87,1.15,1.0,1.24,0.59,0.46,0.55,0.5,0.45,0.4,0.39,0.34,0.38,0.34
a_1,1.39,1.54,1.33,1.29,0.83,1.0,0.69,0.61,0.59,0.6,0.63,0.48,0.5,0.43,0.39,0.42
h_1,2.06,2.48,1.94,2.07,1.7,1.49,1.0,0.89,0.85,1.1,0.85,0.77,0.67,0.64,0.69,0.71
d_0,1.76,2.17,2.85,2.18,2.26,1.7,1.15,1.0,0.83,0.95,0.94,0.85,0.82,0.73,0.78,0.75
c_0,2.59,2.53,2.49,2.01,1.79,1.7,1.12,1.19,1.0,0.96,1.28,0.87,0.82,0.82,0.78,0.73
g_1,2.25,2.23,2.23,2.72,1.99,1.7,0.92,1.0,1.03,1.0,0.97,1.07,0.75,0.75,0.81,0.75
b_0,2.49,2.36,3.01,2.14,2.23,1.59,1.17,1.1,0.78,1.02,1.0,0.98,0.85,1.01,0.7,0.85
f_0,2.27,2.75,2.65,2.5,2.53,2.12,1.33,1.13,1.07,0.93,1.0,1.0,0.95,0.77,1.08,0.69
h_0,2.86,3.32,2.79,3.01,2.48,1.98,1.52,1.18,1.22,1.33,1.15,1.04,1.0,0.93,0.9,0.94
a_0,3.01,3.13,3.06,2.71,2.89,2.28,1.47,1.35,1.21,1.37,0.96,1.26,1.03,1.0,0.88,0.94
e_0,3.03,3.54,3.06,3.21,2.61,2.26,1.45,1.3,1.28,1.3,1.38,0.91,1.09,1.17,1.0,0.86
g_0,3.08,3.08,3.09,3.56,2.98,2.3,1.47,1.31,1.34,1.31,1.21,1.47,1.01,1.02,1.11,1.0
