,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.55,1.06,0.85,1.22,0.86,1.06,0.96,1.33,,0.99,0.72,0.98,1.19,
d_1,1.18,1.0,1.19,0.86,0.96,,1.1,0.94,,1.39,1.06,0.95,1.15,0.71,1.03,0.73
e_1,0.64,0.84,1.0,1.0,1.09,1.02,1.12,0.88,1.19,1.21,1.11,1.19,1.2,1.05,0.76,
c_1,0.94,1.16,1.0,1.0,1.31,,0.91,0.92,0.83,,1.0,0.94,1.18,0.93,0.93,1.28
b_1,1.18,1.05,0.92,0.76,1.0,1.29,1.07,1.03,1.02,0.98,0.89,,0.97,1.14,,1.26
a_1,0.82,,0.98,,0.77,1.0,1.11,0.97,0.89,1.0,0.97,1.0,1.03,,,
h_1,1.16,0.91,0.89,1.1,0.93,0.9,1.0,1.38,0.9,0.8,0.92,0.96,,1.22,0.88,1.07
g_1,0.94,1.06,1.14,1.09,0.97,1.04,0.73,1.0,0.97,1.05,1.38,1.16,0.79,,0.84,1.03
d_0,1.04,,0.84,1.21,0.98,1.12,1.11,1.03,1.0,0.94,0.85,0.84,1.07,0.92,1.13,0.97
c_0,0.75,0.72,0.83,,1.02,1.0,1.25,0.95,1.07,1.0,1.03,1.55,1.19,0.88,1.27,1.0
f_0,,0.94,0.9,1.0,1.12,1.03,1.09,0.73,1.17,0.97,1.0,1.15,0.86,0.9,0.95,1.68
b_0,1.01,1.05,0.84,1.06,,1.0,1.04,0.86,1.19,0.65,0.87,1.0,1.3,0.94,1.47,1.05
h_0,1.38,0.87,0.83,0.85,1.03,0.97,,1.27,0.93,0.84,1.17,0.77,,1.48,0.82,0.85
g_0,1.02,1.41,0.95,1.07,0.88,,0.82,,1.09,1.13,1.11,1.07,0.68,,0.9,0.89
a_0,0.84,0.97,1.32,1.08,,,1.13,1.19,0.89,0.79,1.06,0.68,1.22,1.11,1.0,
e_0,,1.36,,0.78,0.79,,0.94,0.97,1.03,1.0,0.59,0.95,1.18,1.13,,1.0
