,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,1.0,1.66,1.89,1.71,1.25,0.53,0.35,0.51,0.36,0.33,0.43,0.27,0.31,1.96,0.3
f_1,1.3,0.17,1.62,1.86,1.95,1.58,0.3,0.32,0.46,0.29,0.38,1.01,0.17,0.32,0.33,0.31
c_1,1.18,1.47,0.16,2.27,1.64,1.88,0.58,0.18,0.59,1.29,0.33,0.33,0.22,0.31,0.26,0.29
d_1,1.97,1.84,1.58,0.16,1.54,1.7,0.41,2.19,0.32,0.28,0.3,0.28,0.27,0.31,0.31,0.14
b_1,2.41,1.94,0.92,1.36,0.14,1.98,0.51,0.31,0.5,0.35,1.61,0.33,0.26,0.4,0.3,0.2
a_1,2.32,1.41,2.31,1.76,0.79,0.1,0.57,0.38,0.52,0.38,0.38,0.33,0.3,2.11,0.25,0.22
h_1,0.92,1.05,1.09,0.71,1.21,0.97,0.06,0.17,0.3,0.16,0.2,0.19,0.25,0.17,0.16,0.15
d_0,0.48,1.06,0.86,3.04,0.96,1.12,0.3,0.08,0.32,0.22,0.18,0.18,0.12,0.14,0.17,0.16
g_1,0.97,0.94,0.95,0.83,1.21,1.06,0.18,0.23,0.05,0.18,0.18,0.2,0.1,0.23,0.2,0.43
c_0,1.1,0.97,3.17,0.41,0.99,0.96,0.25,0.24,0.22,0.07,0.19,0.21,0.13,0.15,0.19,0.14
b_0,0.84,0.98,1.15,0.75,3.3,0.72,0.31,0.17,0.25,0.08,0.06,0.17,0.13,0.24,0.17,0.11
f_0,0.82,2.03,0.83,0.85,0.85,1.0,0.27,0.19,0.17,0.18,0.16,0.06,0.1,0.18,0.21,0.08
h_0,1.01,0.95,0.87,0.86,0.94,0.79,0.79,0.23,0.27,0.16,0.19,0.18,0.33,0.16,0.18,0.13
a_0,0.97,1.09,0.9,0.76,1.03,,0.25,0.14,0.25,0.19,0.09,0.2,0.13,0.04,0.17,0.13
e_0,2.22,1.34,0.93,0.82,0.79,0.71,0.41,0.14,0.27,0.15,0.13,0.08,0.15,0.15,0.04,0.11
g_0,0.9,1.24,1.13,0.77,1.05,0.75,0.21,0.24,0.45,0.19,0.19,0.14,0.1,0.19,0.14,0.3
