,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.05,1.24,0.72,0.77,0.69,0.56,0.85,0.85,0.92,0.75,0.96,0.54,0.93,0.87,0.89,0.67
e_1,0.8,2.05,0.68,0.88,0.64,0.7,1.18,0.92,1.62,1.02,1.14,1.08,1.13,1.0,1.02,0.77
d_1,0.8,0.72,2.21,0.62,0.67,0.79,0.94,0.97,0.53,1.79,1.29,1.17,1.02,1.02,1.02,1.14
c_1,0.76,0.72,0.74,2.26,1.35,0.7,0.8,0.76,0.86,0.53,0.63,0.85,0.94,0.94,0.87,0.88
b_1,0.72,0.68,0.81,0.76,2.56,1.47,0.88,0.91,0.9,0.78,0.48,0.95,0.66,0.94,0.88,0.95
a_1,0.79,0.69,0.87,0.75,0.83,3.27,1.02,1.05,0.92,0.93,0.86,1.04,0.63,1.27,1.04,0.98
h_1,1.11,0.74,0.87,0.87,0.7,0.65,2.07,1.28,1.11,1.08,1.05,1.02,0.94,0.77,1.47,1.2
g_1,0.71,0.74,1.4,0.79,0.65,0.81,0.87,2.45,0.76,1.04,1.01,1.49,0.87,0.97,1.01,1.1
d_0,0.84,0.73,0.56,1.5,0.87,0.71,1.05,0.98,1.66,0.7,0.97,1.04,1.07,1.06,1.01,1.07
c_0,0.95,0.86,0.85,0.64,0.6,0.71,1.1,1.28,1.13,1.79,2.32,1.26,1.41,1.13,1.05,1.4
b_0,1.0,0.81,0.9,0.91,0.64,0.59,1.08,1.26,1.03,1.01,1.85,0.9,2.26,1.32,1.14,1.12
f_0,0.7,0.7,0.93,0.96,0.87,0.85,1.24,1.01,1.17,1.06,1.15,2.09,1.02,1.15,1.24,2.66
a_0,1.07,0.79,0.87,0.88,0.71,0.51,1.21,1.26,1.11,1.06,1.29,1.15,2.37,1.07,1.21,1.09
h_0,1.23,0.87,0.96,0.85,0.75,0.56,0.7,1.44,0.88,0.91,0.98,1.09,1.06,0.78,1.41,1.04
g_0,0.81,0.75,1.2,0.83,0.75,0.88,1.13,0.78,0.96,0.95,0.92,1.65,1.15,1.14,0.79,1.29
e_0,0.89,0.64,0.94,1.05,0.77,0.72,0.98,1.28,0.97,1.03,1.12,0.91,1.17,1.2,1.19,2.69
