,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.21,0.03,0.02,0.02,0.02,0.02,0.05,0.12,0.07,0.04,0.07,0.06,0.06,0.05,,0.07
f_1,0.05,2.24,0.03,0.03,0.03,0.03,0.04,0.07,0.07,0.04,0.06,,0.08,0.04,0.05,0.06
c_1,0.03,0.03,2.31,0.03,0.05,0.02,0.05,0.07,,0.05,0.04,0.07,0.09,0.05,0.05,0.07
d_1,0.02,0.03,0.02,2.34,0.03,0.02,0.06,,0.12,0.06,0.06,0.06,0.08,0.06,0.05,0.06
b_1,0.03,0.03,0.03,0.03,2.6,0.05,0.05,0.06,0.05,0.05,,0.06,0.08,,0.06,0.08
a_1,0.02,0.04,0.04,0.03,0.02,2.97,0.06,0.08,0.09,0.04,0.04,0.05,0.06,,,0.06
h_1,0.13,0.15,0.1,0.12,0.09,0.09,2.76,0.26,0.22,0.2,0.16,0.18,,0.22,0.22,0.28
d_0,0.16,0.14,0.32,,0.11,0.1,0.26,1.86,0.33,0.2,0.35,0.27,0.5,0.26,0.21,0.26
c_0,0.14,0.14,,0.16,0.09,0.13,0.27,0.39,2.0,0.2,0.6,0.33,0.37,0.17,0.23,0.36
g_1,0.09,0.09,0.09,0.17,0.09,0.07,0.24,0.24,0.18,3.08,0.16,0.42,0.23,0.21,0.18,
b_0,0.16,0.16,0.15,0.16,,0.07,0.25,0.39,0.26,0.22,2.18,0.17,0.41,0.39,0.23,0.41
f_0,0.17,,0.16,0.09,0.13,0.09,0.38,0.32,0.34,0.23,0.32,2.24,0.33,0.27,0.41,0.39
h_0,0.2,0.27,0.2,0.24,0.26,0.12,,0.56,0.47,0.47,0.43,0.3,,0.33,0.36,0.71
a_0,0.21,0.15,0.13,0.12,,,0.34,0.27,0.36,0.21,0.34,0.32,0.4,2.59,0.23,
e_0,,0.16,0.13,0.11,0.11,,0.28,0.36,0.38,0.36,0.3,0.34,0.43,0.29,2.62,0.36
g_0,0.21,0.19,0.22,0.44,0.2,0.13,0.41,0.35,0.35,,0.45,0.47,0.69,,0.37,
