,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,97.11,10.88,12.0,17.48,35.39,94.3,1921.99,6188.34,4323.3,3692.75,6838.83,9955.46,16434.91,24764.65,30717.13,
f_1,15.63,104.64,13.27,20.47,27.32,126.09,1886.63,4277.56,3254.74,4113.49,4487.94,,19177.81,22558.11,31324.86,29459.22
d_1,11.19,12.14,106.14,16.68,30.74,93.59,1490.21,,5565.36,3566.08,5748.34,10976.49,22427.6,27909.17,31995.66,38237.62
c_1,10.45,9.47,10.13,147.89,38.7,139.36,1384.87,3406.14,,2763.44,4119.65,10173.35,16188.83,22273.18,27530.0,40786.89
b_1,9.57,11.52,7.56,16.01,242.16,85.27,1137.79,2262.07,2584.44,2565.65,,7147.92,15911.25,,17892.43,28604.19
a_1,6.39,3.93,7.02,6.99,17.96,664.46,891.59,2112.14,1831.34,,,,11926.97,,12609.51,
h_1,5.09,6.83,5.71,9.28,13.35,46.39,2875.6,1620.75,2141.27,2575.91,2078.37,3826.21,,,19499.06,14184.29
d_0,3.72,4.39,,10.93,16.6,49.79,838.24,3959.69,1723.68,1739.59,2878.86,4282.06,10422.63,9034.46,13116.4,15440.4
c_0,4.44,5.48,4.44,,11.8,40.61,716.15,1766.44,4056.33,1631.67,4117.25,3943.2,7846.85,10868.15,14351.63,
g_1,3.76,4.11,6.38,6.71,8.83,,443.89,1392.25,1382.51,5595.88,1838.58,3615.72,7767.6,8795.85,,10734.6
b_0,2.75,5.81,4.7,6.58,,,885.26,1130.87,1399.79,1536.96,5670.55,4513.61,8812.76,13291.42,9442.86,11303.64
f_0,2.82,,3.87,4.29,10.33,,497.49,1371.43,1547.67,1346.34,1535.8,9006.88,7049.8,6627.5,7479.63,
h_0,4.15,4.69,3.61,6.5,10.15,29.76,,1112.26,1440.5,1256.05,1734.55,2687.23,,8246.68,15814.39,
a_0,2.67,2.87,2.72,3.22,,,,1107.89,1088.04,844.41,1168.16,2586.83,3776.86,18038.82,,
g_0,2.81,3.01,4.35,5.46,11.38,32.4,452.6,1048.29,809.55,,1752.48,4564.72,4248.34,,,10456.64
e_0,,2.14,3.1,3.33,7.83,,578.9,779.84,,952.5,1359.69,,,,6167.47,25057.65
