,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.96,0.55,0.63,0.43,0.43,0.34,0.39,0.29,0.53,0.27,0.4,0.32,0.31,0.28,0.26,0.27
e_1,0.51,0.95,0.5,0.62,0.5,0.38,0.38,0.33,0.35,0.52,0.31,0.39,0.34,0.28,0.21,0.29
f_1,0.51,0.88,0.95,0.52,0.43,0.3,0.3,0.33,0.34,0.34,0.33,0.22,0.29,0.24,0.18,0.22
c_1,0.63,0.52,0.54,0.95,0.76,0.41,0.4,0.31,0.26,0.28,0.27,0.35,0.3,0.23,0.21,0.3
b_1,0.69,0.52,0.66,0.46,0.95,0.66,0.47,0.34,0.37,0.32,0.28,0.32,0.31,0.2,0.31,0.34
a_1,0.74,0.67,0.78,0.59,0.4,0.94,0.5,0.4,0.41,0.46,0.38,0.37,0.47,0.25,0.35,0.37
h_1,0.85,0.79,1.06,0.79,0.67,0.51,0.79,0.57,0.52,0.49,0.48,0.41,0.41,0.32,0.38,0.52
g_1,1.27,0.74,0.69,0.82,0.73,0.55,0.56,0.78,0.56,0.43,0.5,0.64,0.45,0.44,0.48,0.38
c_0,0.89,0.94,0.91,0.71,0.66,0.56,0.6,0.56,0.73,0.61,0.8,0.51,0.55,0.5,0.4,0.45
d_0,0.8,0.82,0.95,1.36,0.77,0.5,0.6,0.56,0.43,0.7,0.43,0.52,0.52,0.39,0.43,0.49
b_0,1.01,0.94,0.93,0.88,0.56,0.5,0.67,0.59,0.54,0.57,0.71,0.47,0.59,0.78,0.4,0.5
f_0,0.99,0.71,0.96,0.84,0.78,0.73,0.74,0.55,0.62,0.54,0.58,0.71,0.63,0.45,0.8,0.46
h_0,1.13,0.96,1.29,0.97,0.84,0.5,0.55,0.69,0.66,0.53,0.5,0.48,0.49,0.5,0.36,0.6
a_0,1.13,1.06,1.02,1.04,0.77,0.56,0.79,0.63,0.66,0.63,0.52,0.59,0.58,0.66,0.41,0.51
e_0,1.14,0.91,1.15,1.02,0.82,0.61,0.75,0.58,0.67,0.56,0.6,0.47,0.7,0.51,0.67,0.55
g_0,1.43,0.94,1.09,0.89,0.78,0.63,0.67,0.62,0.71,0.55,0.56,0.78,0.51,0.54,0.46,0.5
