,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.48,1.52,1.58,1.31,1.47,1.38,2.93,2.53,2.69,4.77,3.63,3.69,4.04,3.61,3.64,3.82
e_1,1.26,2.49,1.44,1.81,1.54,1.65,3.08,4.97,3.08,2.87,3.27,3.36,4.43,3.18,2.69,3.83
f_1,1.48,2.14,2.53,1.47,1.23,1.45,2.46,3.24,2.82,2.91,2.45,2.97,3.4,3.27,2.22,3.35
c_1,1.54,1.36,1.45,2.57,2.27,1.31,2.81,2.86,2.56,2.23,3.05,2.49,4.08,3.08,3.22,4.51
b_1,1.5,1.45,1.46,1.37,2.81,2.42,3.06,2.69,2.63,3.25,3.17,3.08,3.63,2.74,3.46,4.55
a_1,1.51,1.42,1.51,1.53,1.35,3.22,3.21,3.41,3.57,3.53,3.77,3.93,4.38,2.72,3.95,3.84
h_1,1.58,1.53,2.11,1.57,1.41,1.24,4.26,3.31,3.96,3.15,3.19,3.27,3.58,3.77,3.39,4.61
d_0,1.34,1.34,1.53,2.41,1.85,1.57,3.1,4.1,2.68,2.35,3.28,2.99,4.05,2.93,3.56,4.05
g_1,2.11,1.37,1.41,1.54,1.55,1.26,2.49,3.48,4.69,3.19,4.46,3.48,4.19,4.2,4.33,3.51
c_0,1.52,1.63,1.81,1.53,1.21,1.39,3.4,3.93,3.2,4.38,3.46,6.0,4.69,4.26,4.19,4.71
f_0,1.7,1.36,1.48,1.67,1.72,1.6,2.99,3.6,2.93,3.23,4.61,3.29,4.4,3.73,6.08,3.63
b_0,1.65,1.56,1.8,1.87,1.01,1.18,2.99,3.8,2.87,2.72,3.6,4.62,4.56,6.58,3.91,4.05
h_0,1.75,1.52,2.04,1.55,1.47,1.44,2.51,3.4,3.35,3.05,3.26,3.23,3.61,3.41,3.32,4.79
a_0,1.67,1.56,1.84,1.59,1.5,1.11,3.26,3.62,2.84,3.45,3.69,2.65,4.38,5.18,4.16,4.03
e_0,1.82,1.06,2.02,1.66,1.61,1.45,3.38,3.34,2.75,3.23,2.92,3.4,4.61,3.73,5.25,4.3
g_0,2.2,1.39,1.51,1.47,1.44,1.59,2.76,2.99,2.67,3.13,4.99,3.7,3.96,3.56,3.64,4.0
