,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,3.86,4.5,3.61,4.34,4.49,1.0,1.43,0.9,0.87,0.79,4.22,0.4,0.84,0.82,0.62
e_1,2.52,0.44,5.79,5.05,5.03,3.22,1.24,2.21,0.8,0.81,0.84,1.2,0.57,0.84,3.21,0.61
c_1,4.4,4.2,0.42,4.98,4.42,5.86,1.31,1.31,0.53,2.97,0.95,0.71,0.55,0.94,0.96,0.61
d_1,4.27,5.88,3.78,0.42,4.65,3.49,1.1,0.81,3.89,0.85,1.04,0.89,0.74,0.96,1.0,0.43
b_1,5.37,4.68,3.0,4.38,0.39,5.91,1.29,1.35,1.19,1.43,4.9,0.97,0.83,0.77,0.8,0.79
a_1,7.43,7.28,5.76,5.88,3.32,0.33,2.1,1.81,1.2,0.98,1.3,1.03,1.08,,1.06,0.79
h_1,5.45,4.84,5.19,4.75,4.49,4.8,0.36,1.52,1.09,0.92,1.07,0.99,3.15,1.01,0.85,0.8
g_1,7.24,5.74,5.41,4.88,4.98,5.52,1.41,0.32,1.22,1.09,1.0,1.14,0.59,1.73,1.11,1.79
d_0,6.71,2.69,6.02,20.64,5.4,6.17,1.74,1.82,0.46,1.12,1.18,0.96,0.87,1.44,1.02,1.12
c_0,5.88,5.34,23.21,3.06,5.94,5.74,1.78,1.76,1.5,0.45,1.01,1.07,1.22,1.36,1.18,1.04
b_0,5.57,5.94,6.9,4.64,27.36,5.7,1.75,1.49,1.36,0.58,0.4,1.6,0.92,0.95,1.38,1.27
f_0,17.31,5.67,5.87,5.74,5.72,5.54,1.92,0.88,1.02,1.37,1.25,0.38,0.95,1.66,1.08,0.79
h_0,6.28,7.94,5.93,5.87,7.78,7.37,5.51,2.23,1.44,1.31,1.11,1.31,2.76,1.36,1.05,1.01
a_0,6.88,6.99,7.84,7.0,6.37,,2.0,1.6,1.64,1.31,0.74,1.78,1.02,0.35,1.59,0.92
e_0,10.5,21.94,6.3,7.66,6.16,6.26,2.32,1.47,1.39,1.33,1.19,0.68,1.53,2.39,0.34,1.13
g_0,8.07,6.54,7.46,9.5,7.2,10.17,1.5,4.05,1.39,1.43,1.44,1.32,0.83,1.7,1.49,2.4
