,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.47,1.32,1.43,1.41,1.1,0.44,0.43,0.41,0.55,0.38,0.44,0.27,0.35,0.31,0.32
e_1,1.2,1.04,1.41,1.65,1.53,1.26,0.62,0.6,0.44,0.55,0.49,0.57,0.35,0.39,0.46,0.39
d_1,1.9,1.88,1.04,1.56,1.57,1.19,0.57,0.64,0.58,0.43,0.48,0.43,0.38,0.44,0.38,0.26
c_1,1.7,1.52,1.88,1.05,1.7,1.41,0.6,0.34,0.5,0.53,0.4,0.46,0.38,0.42,0.42,0.36
b_1,1.91,1.79,1.82,1.17,1.05,1.85,0.74,0.51,0.66,0.66,0.69,0.52,0.45,0.42,0.44,0.44
a_1,2.86,2.34,2.56,2.14,1.53,1.06,1.05,0.76,0.8,0.95,0.78,0.64,0.52,0.81,0.57,0.48
h_1,4.95,4.07,4.34,4.45,3.9,2.99,1.24,1.23,1.31,1.64,1.24,1.07,1.07,1.08,1.02,0.92
d_0,5.1,3.56,5.3,6.38,5.52,4.2,2.09,1.38,1.55,1.96,1.45,1.71,1.26,1.35,1.54,1.32
c_0,6.06,6.0,3.37,6.13,4.9,4.45,2.08,1.94,1.33,1.92,1.85,1.35,1.34,1.57,1.28,1.09
g_1,5.51,5.15,5.94,5.87,5.04,3.87,1.62,1.47,1.59,1.26,1.54,1.55,1.02,1.27,1.23,1.26
b_0,6.39,5.37,4.76,7.0,5.94,4.84,2.19,1.86,1.17,1.87,1.34,1.35,1.3,1.58,1.27,1.08
f_0,7.41,5.8,6.13,6.44,6.25,5.23,2.51,1.88,2.14,1.65,2.04,1.35,1.39,1.8,1.97,1.09
h_0,7.8,6.65,6.77,7.15,6.27,5.88,3.09,1.99,1.96,2.55,2.06,2.01,1.79,1.62,1.56,1.68
a_0,8.37,8.03,6.37,7.47,8.62,6.67,2.62,2.1,1.86,2.73,1.54,1.84,2.1,1.46,1.53,1.56
e_0,10.05,8.5,7.53,8.34,8.19,7.43,3.1,2.31,2.44,2.9,2.59,1.31,2.1,2.3,1.51,1.55
g_0,9.4,8.38,8.17,8.69,7.24,6.59,2.85,2.57,2.5,3.08,2.73,2.32,1.6,2.27,1.97,1.8
