,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.58,0.88,0.99,0.95,0.93,0.56,0.52,0.57,0.39,0.43,0.5,0.35,0.42,0.45,0.69
f_1,0.94,0.42,0.77,0.96,0.76,0.92,0.33,0.5,0.4,0.35,0.38,0.6,0.25,0.38,0.29,0.37
d_1,0.91,0.97,0.39,0.89,0.79,0.79,0.5,0.34,0.7,0.47,0.37,0.39,0.33,0.39,0.24,0.38
c_1,0.75,0.93,0.96,0.39,1.17,0.79,0.48,0.46,0.25,0.52,0.32,0.35,0.33,0.34,0.35,0.39
b_1,0.89,1.0,1.04,0.5,0.36,1.06,0.51,0.54,0.35,0.49,0.78,0.41,0.35,0.44,0.37,0.38
a_1,0.96,0.88,0.84,1.08,0.54,0.3,0.63,0.51,0.44,0.44,0.56,0.43,0.38,0.59,0.37,0.39
h_1,0.72,0.94,0.77,0.77,0.81,0.7,0.25,0.42,0.35,0.34,0.32,0.34,0.45,0.38,0.33,0.29
g_1,0.78,0.78,0.86,0.76,0.82,0.81,0.34,0.23,0.4,0.32,0.33,0.36,0.26,0.37,0.37,0.33
d_0,0.48,0.89,1.01,0.94,0.96,0.76,0.41,0.47,0.26,0.32,0.37,0.32,0.38,0.34,0.41,0.3
c_0,0.77,0.87,0.52,1.2,0.7,0.66,0.46,0.58,0.42,0.25,0.51,0.33,0.35,0.35,0.34,0.38
b_0,0.76,0.74,0.74,1.33,1.21,0.67,0.4,0.42,0.34,0.19,0.23,0.32,0.29,0.41,0.25,0.31
f_0,0.71,1.24,0.72,0.75,0.74,0.67,0.49,0.31,0.42,0.41,0.35,0.23,0.3,0.4,0.24,0.38
h_0,0.85,0.83,0.73,0.78,0.72,0.68,0.5,0.45,0.3,0.3,0.37,0.3,0.42,0.31,0.34,0.28
a_0,0.76,0.82,0.75,0.87,0.83,1.12,0.38,0.4,0.35,0.36,0.22,0.33,0.33,0.2,0.28,0.31
g_0,0.7,0.89,0.85,0.82,0.82,0.7,0.33,0.47,0.33,0.31,0.33,0.34,0.2,0.36,0.32,0.28
e_0,0.87,0.98,0.84,0.7,0.78,0.77,0.5,0.39,0.37,0.3,0.39,0.21,0.34,0.41,0.24,0.19
