,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.4,0.74,0.58,0.75,0.62,0.63,0.28,0.36,0.28,0.32,0.27,0.32,0.27,0.19,0.25,0.28
e_1,0.46,0.4,0.67,0.71,0.79,0.66,0.39,0.41,0.32,0.36,0.32,0.36,0.35,0.28,0.48,0.3
d_1,0.7,0.8,0.39,0.65,0.62,0.62,0.31,0.28,0.32,0.41,0.3,0.29,0.28,0.23,0.27,0.17
c_1,0.67,0.59,0.75,0.39,0.79,0.59,0.37,0.32,0.35,0.2,0.28,0.28,0.3,0.26,0.27,0.27
b_1,0.76,0.63,0.74,0.43,0.37,0.81,0.38,0.42,0.43,0.3,0.44,0.29,0.28,0.33,0.37,0.27
a_1,0.69,0.67,0.68,0.73,0.42,0.31,0.44,0.4,0.32,0.36,0.4,0.33,0.44,0.25,0.33,0.27
h_1,0.71,0.58,0.62,0.69,0.63,0.54,0.23,0.41,0.26,0.26,0.29,0.27,0.24,0.29,0.27,0.24
g_1,0.69,0.63,0.63,0.76,0.6,0.59,0.27,0.21,0.26,0.26,0.27,0.28,0.25,0.17,0.29,0.24
c_0,0.74,0.67,0.43,0.92,0.55,0.53,0.33,0.39,0.23,0.39,0.35,0.27,0.29,0.25,0.34,0.23
d_0,0.61,0.42,0.8,0.76,0.66,0.63,0.36,0.45,0.27,0.23,0.31,0.28,0.29,0.27,0.28,0.3
b_0,0.65,0.58,0.55,0.9,0.69,0.58,0.33,0.34,0.19,0.29,0.21,0.29,0.32,0.24,0.3,0.21
f_0,0.79,0.58,0.57,0.75,0.6,0.57,0.36,0.25,0.29,0.31,0.25,0.21,0.27,0.27,0.34,0.19
a_0,0.69,0.61,0.58,0.68,0.76,0.64,0.37,0.33,0.24,0.29,0.18,0.28,0.2,0.28,0.28,0.25
h_0,0.72,0.63,0.61,0.67,0.53,0.55,0.37,0.36,0.28,0.3,0.26,0.24,0.24,0.29,0.28,0.26
e_0,0.94,0.64,0.59,0.68,0.57,0.52,0.36,0.3,0.27,0.34,0.27,0.16,0.25,0.2,0.18,0.21
g_0,0.62,0.59,0.69,0.62,0.61,0.53,0.27,0.41,0.28,0.27,0.28,0.33,0.29,0.19,0.27,0.28
