,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,1.0,1.16,1.19,2.97,15.64,33.27,26.45,41.88,38.0,35.28,79.98,90.69,,89.65
f_1,1.4,1.0,1.17,0.96,1.31,3.34,13.69,27.23,29.82,25.51,31.21,,78.49,67.52,99.81,80.33
d_1,1.0,0.85,1.0,0.91,1.19,2.65,16.06,18.08,39.53,,36.06,40.04,67.01,73.79,81.79,77.8
c_1,0.87,1.05,1.09,1.0,1.58,2.43,13.63,17.42,,21.82,29.72,37.8,56.56,71.05,123.67,85.35
b_1,0.84,0.76,0.84,0.63,1.0,2.88,9.42,24.67,23.56,23.22,,31.47,64.22,74.96,70.34,77.84
a_1,0.34,0.3,0.38,0.41,0.35,1.0,4.96,10.45,8.39,9.45,12.11,13.0,,28.17,,38.56
h_1,0.06,0.07,0.06,0.07,0.11,0.2,1.0,1.83,1.99,2.34,2.33,3.0,4.53,,8.62,8.86
g_1,0.03,0.04,0.06,0.06,0.04,0.1,0.55,1.0,0.89,1.05,1.42,2.06,2.43,2.45,3.31,
c_0,0.04,0.03,0.03,,0.04,0.12,0.5,1.13,1.0,1.07,1.48,1.53,2.53,3.04,2.89,3.57
d_0,0.02,0.04,,0.05,0.04,0.11,0.43,0.95,0.93,1.0,1.27,1.18,1.86,2.17,2.27,3.49
b_0,0.03,0.03,0.03,0.03,,0.08,0.43,0.7,0.68,0.79,1.0,1.0,3.65,2.78,2.39,3.2
f_0,0.03,,0.02,0.03,0.03,0.08,0.33,0.49,0.65,0.85,1.0,1.0,1.58,2.04,,1.92
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.41,0.4,0.54,0.27,0.63,1.0,1.27,1.34,
h_0,0.01,0.01,0.01,0.01,0.01,0.04,,0.41,0.33,0.46,0.36,0.49,0.79,,,1.56
e_0,,0.01,0.01,0.01,0.01,,0.12,0.3,0.35,0.44,0.42,,0.75,,1.0,0.84
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,,0.28,0.29,0.31,0.52,,0.64,1.2,
