,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.42,0.57,0.92,0.96,0.97,0.88,0.56,0.53,0.47,0.35,0.42,0.45,0.36,0.38,0.39,0.71
f_1,0.94,0.41,0.79,0.91,0.82,0.82,0.39,0.48,0.39,0.44,0.41,0.56,0.23,0.34,0.37,0.37
d_1,0.91,1.01,0.39,0.77,0.86,0.92,0.44,0.35,0.77,0.41,0.41,0.35,0.36,0.22,0.38,0.39
c_1,0.73,0.9,1.12,0.39,0.99,0.77,0.48,0.43,0.25,0.5,0.3,0.37,0.35,0.36,0.36,0.33
b_1,0.84,1.06,0.86,0.58,0.37,0.94,0.45,0.57,0.4,0.59,0.61,0.42,0.38,0.35,0.44,0.42
a_1,0.95,0.95,0.92,0.95,0.56,0.3,0.56,0.59,0.44,0.34,0.43,0.38,0.34,0.36,0.5,0.35
h_1,0.7,0.83,0.75,0.84,0.86,0.7,0.25,0.42,0.36,0.32,0.32,0.41,0.38,0.33,0.35,0.31
g_1,0.77,0.8,0.81,0.8,0.86,0.67,0.37,0.23,0.33,0.34,0.34,0.38,0.25,0.42,0.41,0.38
d_0,0.51,0.78,1.01,1.01,0.77,0.79,0.49,0.53,0.26,0.33,0.38,0.38,0.32,0.33,0.35,0.38
c_0,0.92,0.78,0.5,1.2,0.66,1.0,0.48,0.41,0.48,0.24,0.56,0.35,0.32,0.35,0.32,0.32
b_0,0.74,0.74,0.72,1.09,1.05,0.75,0.41,0.48,0.33,0.2,0.23,0.35,0.31,0.32,0.38,0.34
f_0,0.71,1.28,0.74,0.89,0.72,0.8,0.33,0.28,0.34,0.31,0.42,0.23,0.37,0.25,0.42,0.4
h_0,0.76,0.99,0.69,0.75,0.7,0.68,0.52,0.46,0.34,0.39,0.33,0.29,0.37,0.34,0.3,0.34
g_0,0.83,0.84,0.88,0.76,0.74,0.77,0.31,0.49,0.36,0.29,0.32,0.32,0.23,0.37,0.33,0.28
a_0,0.87,0.9,0.73,0.75,0.85,1.13,0.4,0.37,0.35,0.34,0.2,0.28,0.3,0.35,0.2,0.31
e_0,0.81,0.96,0.75,0.85,0.78,0.7,0.42,0.38,0.36,0.36,0.35,0.2,0.33,0.32,0.39,0.19
