,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.95,0.46,0.52,0.36,0.36,0.26,0.34,0.24,0.47,0.21,0.33,0.27,0.25,0.24,0.22,0.23
e_1,0.41,0.95,0.43,0.5,0.42,0.31,0.32,0.27,0.29,0.45,0.27,0.31,0.29,0.24,0.13,0.25
f_1,0.44,0.73,0.95,0.43,0.37,0.24,0.24,0.27,0.28,0.26,0.27,0.18,0.24,0.18,0.16,0.18
c_1,0.54,0.44,0.46,0.94,0.63,0.31,0.33,0.24,0.18,0.24,0.21,0.27,0.25,0.17,0.16,0.25
b_1,0.56,0.44,0.52,0.37,0.94,0.58,0.37,0.29,0.3,0.26,0.21,0.27,0.23,0.17,0.27,0.27
a_1,0.64,0.56,0.63,0.48,0.3,0.94,0.38,0.35,0.33,0.38,0.33,0.32,0.42,0.2,0.28,0.3
h_1,0.73,0.67,0.97,0.68,0.59,0.46,0.76,0.53,0.46,0.43,0.42,0.37,0.32,0.26,0.33,0.47
g_1,1.11,0.67,0.53,0.76,0.61,0.47,0.43,0.76,0.5,0.37,0.43,0.57,0.39,0.38,0.41,0.32
c_0,0.78,0.84,0.78,0.56,0.59,0.51,0.51,0.47,0.68,0.53,0.73,0.45,0.47,0.4,0.37,0.39
d_0,0.56,0.7,0.83,1.27,0.63,0.46,0.56,0.52,0.4,0.66,0.4,0.45,0.45,0.34,0.39,0.44
b_0,0.88,0.84,0.85,0.72,0.47,0.41,0.59,0.48,0.48,0.5,0.67,0.43,0.58,0.69,0.35,0.46
f_0,0.91,0.62,0.68,0.72,0.67,0.65,0.63,0.5,0.57,0.5,0.5,0.67,0.57,0.38,0.71,0.38
h_0,1.02,0.85,1.19,0.84,0.77,0.39,0.46,0.6,0.57,0.49,0.37,0.4,0.38,0.41,0.29,0.53
a_0,0.99,0.88,0.94,0.91,0.7,0.4,0.72,0.54,0.6,0.56,0.45,0.53,0.54,0.63,0.38,0.4
e_0,0.99,0.7,1.07,0.94,0.66,0.54,0.71,0.49,0.57,0.49,0.55,0.42,0.64,0.43,0.64,0.48
g_0,1.31,0.74,0.96,0.75,0.61,0.5,0.55,0.47,0.63,0.48,0.48,0.73,0.46,0.48,0.39,0.44
