,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,1.6,1.47,1.72,1.59,1.43,0.39,0.31,0.35,0.65,0.37,1.61,0.3,0.2,0.34,0.31
e_1,0.89,0.17,2.05,1.74,1.72,2.46,0.44,0.37,0.32,0.56,0.37,0.44,0.4,0.24,1.75,0.29
d_1,2.09,1.91,0.15,1.77,1.41,1.58,0.56,0.27,1.51,0.28,0.29,0.34,0.32,0.22,0.38,0.16
c_1,1.77,1.71,2.26,0.15,1.86,1.51,0.43,1.24,0.17,0.41,0.31,0.28,0.39,0.25,0.35,0.19
b_1,1.55,1.86,1.72,0.88,0.14,1.93,0.69,0.4,0.35,0.56,2.18,0.3,0.32,0.31,0.26,0.31
a_1,2.07,1.84,1.91,2.11,0.91,0.1,0.53,0.39,0.43,0.45,0.36,0.31,1.12,0.21,0.42,0.24
h_1,0.93,0.86,0.89,1.06,1.16,0.79,0.07,0.2,0.22,0.38,0.19,0.17,0.15,0.39,0.15,0.11
c_0,1.01,1.04,0.42,3.09,1.1,1.03,0.25,0.08,0.28,0.28,0.21,0.18,0.18,0.13,0.15,0.13
d_0,1.15,0.44,3.55,1.01,0.92,1.02,0.27,0.24,0.08,0.32,0.21,0.24,0.17,0.13,0.22,0.18
g_1,0.97,0.87,1.05,1.07,0.96,0.95,0.21,0.18,0.22,0.06,0.19,0.19,0.19,0.12,0.17,0.29
b_0,0.78,0.83,0.74,1.31,3.93,0.95,0.22,0.1,0.22,0.29,0.07,0.2,0.21,0.12,0.17,0.13
f_0,2.48,0.82,0.89,0.73,1.16,0.94,0.23,0.23,0.2,0.17,0.18,0.06,0.2,0.14,0.16,0.08
a_0,1.04,0.89,0.78,0.99,1.24,3.19,0.2,0.12,0.25,0.21,0.09,0.2,0.05,0.14,0.2,0.16
h_0,1.2,0.79,0.77,1.26,0.95,0.7,0.52,0.18,0.22,0.23,0.18,0.18,0.15,0.31,0.13,0.17
e_0,1.34,3.29,0.81,0.85,0.78,0.74,0.24,0.17,0.19,0.25,0.22,0.08,0.19,0.11,0.04,0.12
g_0,1.14,0.96,0.71,1.44,0.84,0.8,0.21,0.17,0.22,0.54,0.18,0.16,0.16,0.11,0.15,0.31
