,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,35.87,0.1,0.06,0.08,0.06,0.06,0.32,0.42,0.32,0.36,0.28,,0.75,0.43,0.57,0.31
e_1,0.07,36.75,0.05,0.06,0.06,0.07,0.25,0.83,0.26,0.35,0.38,0.32,0.69,0.21,0.71,
d_1,0.08,0.07,39.52,0.05,0.07,0.06,0.32,,0.23,0.85,0.48,0.26,0.55,0.45,0.56,0.34
c_1,0.06,0.07,0.07,41.65,0.14,0.05,0.25,0.35,0.32,,0.28,0.57,0.51,0.48,0.54,0.4
b_1,0.06,0.07,0.06,0.08,47.53,0.16,0.3,0.52,0.29,0.37,,0.3,0.45,0.27,0.58,0.35
a_1,0.06,0.07,0.08,0.06,0.04,76.01,0.38,0.46,0.27,0.3,0.41,0.38,0.75,,0.52,
h_1,0.43,0.28,0.25,0.29,0.24,,28.27,1.39,1.52,0.94,1.43,1.43,,1.35,2.74,1.9
d_0,0.31,0.24,,0.81,0.37,0.46,1.87,17.86,1.37,1.73,1.73,2.3,2.38,1.38,2.97,2.84
g_1,0.18,0.31,0.46,0.15,0.26,,1.05,0.84,36.27,1.71,1.5,2.74,2.64,1.42,,1.25
c_0,0.33,0.34,0.32,,0.29,0.56,1.19,1.8,1.91,20.16,3.4,2.3,2.95,1.91,3.06,1.42
b_0,0.38,0.46,0.52,0.31,,0.29,1.49,1.73,1.23,2.06,18.92,1.65,3.29,4.49,1.86,2.19
f_0,,0.27,0.35,0.42,0.33,0.38,2.09,1.44,1.33,2.31,2.83,22.21,3.08,1.96,2.14,3.97
h_0,0.75,0.59,0.78,0.39,0.65,0.45,,3.23,2.48,2.37,3.0,2.5,,2.79,5.97,3.54
a_0,0.41,0.34,0.24,0.31,0.4,,1.53,2.23,1.43,1.93,1.95,1.97,3.15,31.03,3.57,
g_0,0.53,0.36,0.84,0.67,0.53,0.7,2.55,1.86,,2.36,3.65,4.24,5.64,2.14,,
e_0,0.23,,0.27,0.44,0.52,,1.35,1.93,1.38,2.19,2.77,2.09,3.77,,4.05,34.46
