,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,0.57,0.84,1.04,0.95,1.0,0.51,0.53,0.54,0.38,0.48,0.39,0.37,0.41,0.58,0.36
f_1,0.96,0.42,0.9,0.82,0.82,0.74,0.41,0.5,0.39,0.38,0.54,0.42,0.26,0.37,0.34,0.4
d_1,0.97,0.9,0.39,0.83,0.98,0.9,0.43,0.33,0.59,0.45,0.36,0.39,0.34,0.33,0.41,0.21
c_1,0.76,0.93,1.09,0.38,0.98,0.7,0.46,0.54,0.24,0.55,0.35,0.36,0.32,0.4,0.41,0.3
b_1,0.85,0.95,0.86,0.57,0.36,1.05,0.54,0.57,0.38,0.48,0.45,0.64,0.39,0.45,0.38,0.38
a_1,0.86,1.15,0.82,1.12,0.53,0.29,0.56,0.46,0.43,0.39,0.45,0.44,0.35,0.56,0.34,0.46
h_1,0.72,0.86,0.86,0.83,0.67,0.69,0.26,0.48,0.34,0.36,0.34,0.39,0.44,0.32,0.31,0.32
g_1,0.73,0.88,0.8,0.87,0.7,0.99,0.32,0.23,0.37,0.35,0.39,0.36,0.25,0.39,0.41,0.38
d_0,0.46,0.8,1.06,0.94,0.84,0.83,0.48,0.51,0.27,0.33,0.37,0.37,0.29,0.37,0.37,0.37
c_0,0.84,0.92,0.46,1.29,0.73,0.78,0.44,0.41,0.43,0.25,0.37,0.54,0.36,0.41,0.34,0.32
f_0,0.7,1.2,0.76,0.87,0.79,0.79,0.41,0.29,0.33,0.3,0.24,0.35,0.33,0.37,0.39,0.28
b_0,0.77,0.87,0.72,0.94,1.06,0.7,0.43,0.38,0.35,0.19,0.31,0.23,0.31,0.42,0.36,0.3
h_0,0.67,0.91,0.72,0.73,0.82,0.73,0.55,0.43,0.36,0.33,0.33,0.29,0.38,0.3,0.33,0.32
a_0,0.67,1.06,0.88,0.75,0.84,1.13,0.46,0.36,0.33,0.31,0.31,0.22,0.33,0.21,0.32,0.29
e_0,0.89,1.0,0.73,0.74,0.85,0.86,0.38,0.32,0.38,0.38,0.21,0.32,0.3,0.33,0.21,0.3
g_0,0.93,0.77,0.91,0.82,0.71,0.65,0.34,0.56,0.33,0.3,0.31,0.32,0.24,0.36,0.3,0.38
