,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.4,0.67,0.54,1.06,0.66,0.62,0.89,1.08,0.73,2.05,1.04,1.14,1.0,1.07,0.83,0.99
f_1,1.7,10.03,0.64,0.78,0.6,0.49,0.95,0.8,0.69,1.0,0.94,0.51,0.91,0.96,0.72,0.83
d_1,0.63,0.8,12.66,0.46,0.68,0.79,1.02,0.92,2.9,0.58,1.39,0.93,1.14,1.05,1.12,1.01
c_1,0.55,0.69,0.67,12.76,2.05,0.65,0.75,0.8,0.48,0.79,0.5,1.02,0.83,0.78,1.07,0.98
b_1,0.6,0.66,0.74,0.67,12.07,1.99,0.88,0.83,0.89,0.8,0.58,0.97,1.02,0.63,0.97,0.97
a_1,0.63,0.86,0.91,0.65,0.54,18.23,1.15,0.9,1.15,1.01,1.03,1.09,1.06,0.82,0.99,1.16
h_1,0.76,1.19,0.82,0.82,0.66,0.72,3.3,1.61,0.87,0.93,1.08,1.06,0.76,1.08,0.79,1.35
g_1,0.53,0.64,1.82,0.76,0.78,0.72,1.05,3.95,1.2,0.82,1.07,2.03,1.22,1.01,1.29,0.96
c_0,0.8,1.03,0.91,0.64,0.45,0.77,1.28,0.92,2.29,1.02,3.98,1.06,1.13,1.71,1.08,1.13
d_0,0.88,0.75,0.49,2.33,0.82,0.55,1.05,1.01,0.55,1.9,1.03,1.1,1.04,1.04,1.07,1.06
b_0,0.74,0.79,1.12,0.64,0.54,0.67,1.26,1.48,1.29,1.0,2.5,1.26,1.17,3.38,1.06,0.98
f_0,0.58,0.63,1.03,0.89,0.77,0.99,1.07,1.35,1.15,1.03,1.31,2.18,1.32,1.15,2.46,0.95
h_0,0.74,1.27,1.03,0.83,0.54,0.69,0.74,1.28,1.05,0.91,1.23,1.01,0.79,0.95,1.07,1.67
a_0,0.87,0.8,0.97,0.72,0.96,0.5,1.1,1.42,1.06,0.94,1.16,1.06,1.24,2.76,1.07,1.14
e_0,0.51,0.81,0.84,1.0,0.82,0.74,1.3,1.25,1.11,1.3,1.24,1.31,1.19,0.85,2.79,1.13
g_0,0.63,0.67,1.63,0.94,0.82,0.76,0.87,0.85,1.03,0.85,1.2,1.92,0.88,1.15,1.13,0.68
