,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.88,0.15,0.08,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.01,0.05,0.07,0.03,0.06
e_1,0.09,0.88,0.06,0.09,0.09,0.05,0.08,0.04,0.08,0.15,0.07,0.05,0.06,0.07,0.01,0.06
d_1,0.1,0.09,0.87,0.07,0.07,0.05,0.08,0.06,0.14,0.01,0.08,0.08,0.05,0.07,0.04,0.06
c_1,0.07,0.09,0.09,0.88,0.15,0.04,0.06,0.04,0.01,0.08,0.05,0.06,0.04,0.08,0.04,0.07
b_1,0.1,0.07,0.09,0.09,0.87,0.08,0.06,0.05,0.06,0.07,0.02,0.06,0.05,0.08,0.05,0.06
a_1,0.1,0.08,0.1,0.08,0.06,0.87,0.07,0.06,0.07,0.09,0.06,0.06,0.01,0.07,0.05,0.08
h_1,0.21,0.14,0.18,0.14,0.12,0.05,0.52,0.15,0.16,0.12,0.13,0.09,0.09,0.05,0.07,0.13
g_1,0.15,0.11,0.24,0.17,0.09,0.07,0.1,0.54,0.1,0.11,0.11,0.18,0.08,0.13,0.1,0.03
c_0,0.16,0.16,0.18,0.05,0.1,0.1,0.14,0.15,0.4,0.12,0.27,0.12,0.11,0.13,0.08,0.1
d_0,0.16,0.14,0.05,0.27,0.13,0.1,0.19,0.09,0.11,0.38,0.12,0.09,0.1,0.11,0.05,0.09
b_0,0.2,0.15,0.17,0.15,0.05,0.06,0.13,0.1,0.16,0.14,0.38,0.14,0.19,0.16,0.07,0.09
f_0,0.06,0.14,0.18,0.17,0.13,0.1,0.15,0.15,0.16,0.14,0.12,0.36,0.08,0.14,0.18,0.09
a_0,0.18,0.12,0.2,0.16,0.13,0.03,0.15,0.11,0.14,0.12,0.14,0.11,0.35,0.18,0.09,0.11
h_0,0.23,0.12,0.17,0.15,0.11,0.08,0.06,0.17,0.14,0.13,0.14,0.09,0.09,0.04,0.11,0.12
e_0,0.18,,0.19,0.17,0.11,0.1,0.19,0.15,0.14,0.15,0.16,0.11,0.08,0.14,0.4,0.12
g_0,0.14,0.14,0.26,0.14,0.12,0.09,0.13,0.05,0.13,0.08,0.12,0.15,0.09,0.11,0.08,0.04
