,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.61,1.17,0.59,0.59,0.42,0.59,0.89,0.81,0.81,0.81,0.91,0.31,0.85,0.91,0.86,0.61
e_1,0.65,2.79,0.75,0.52,0.6,0.54,0.93,0.78,1.66,1.03,0.97,1.03,0.94,0.98,0.88,0.57
c_1,0.55,0.55,2.97,0.57,1.28,0.5,0.88,0.85,0.86,0.32,0.61,0.93,1.0,0.77,0.8,1.01
d_1,0.72,0.53,0.49,3.16,0.52,0.61,0.96,0.91,0.34,1.76,1.18,1.23,0.88,1.11,1.23,1.05
b_1,0.61,0.46,0.68,0.6,3.61,1.17,0.92,0.89,0.96,0.8,0.37,0.88,1.02,0.58,1.05,0.87
a_1,0.79,0.61,0.66,0.54,0.55,5.2,0.82,0.89,0.98,0.91,0.74,0.73,1.08,0.33,0.76,0.64
h_1,1.13,0.72,0.62,0.89,0.63,0.69,3.13,1.25,0.93,1.04,1.24,0.85,0.68,1.13,1.54,0.95
g_1,0.62,0.64,0.7,1.31,0.63,0.65,0.97,3.58,0.97,1.08,1.33,1.73,1.23,1.23,0.67,1.48
d_0,0.72,0.63,1.53,0.42,0.72,0.47,1.16,1.07,2.29,0.84,1.23,1.35,1.36,1.43,1.13,1.53
c_0,0.87,0.7,0.49,0.95,0.45,0.78,0.9,1.18,1.29,2.4,2.62,1.39,1.34,1.53,1.51,1.49
b_0,0.81,0.72,0.67,1.03,0.27,0.68,1.11,1.37,0.99,1.16,2.86,1.29,1.34,2.59,1.22,1.55
f_0,0.45,0.57,0.8,1.02,0.61,0.52,1.17,1.29,1.27,1.37,1.39,3.25,1.52,1.59,1.5,3.03
h_0,0.99,0.68,0.82,0.93,0.72,0.6,0.58,1.61,1.07,1.11,1.35,1.05,0.65,1.22,1.44,1.23
a_0,0.76,0.79,0.87,0.9,0.62,0.34,1.2,1.31,0.99,0.94,1.49,1.44,1.19,3.57,1.18,1.5
g_0,0.71,0.58,0.68,1.35,0.61,0.53,1.07,0.74,0.88,1.02,1.52,1.95,1.21,1.35,0.64,1.41
e_0,0.81,0.3,0.93,0.83,1.04,0.77,0.93,0.94,1.15,1.17,1.51,1.51,1.53,0.98,1.33,4.46
