,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,9.47,10.21,8.33,6.83,8.82,2.67,3.27,2.33,2.29,2.41,,1.32,2.12,1.78,2.18
e_1,5.81,1.07,7.68,9.12,8.1,9.54,3.47,3.33,2.48,2.99,2.2,2.56,1.98,2.84,,2.06
d_1,8.68,13.36,1.07,10.18,9.69,10.5,4.03,2.58,3.23,,2.37,2.94,1.7,2.43,2.16,1.48
c_1,9.85,10.3,10.77,1.07,9.59,10.4,4.61,3.75,,1.83,3.7,3.27,2.37,1.9,3.48,1.67
b_1,14.57,11.32,11.78,6.82,1.07,8.49,3.62,3.46,3.95,2.83,,3.65,2.16,3.32,,2.17
a_1,14.47,16.1,12.09,14.16,11.08,1.07,6.57,5.67,5.76,5.42,5.86,2.91,2.74,,,3.4
h_1,13.77,15.61,12.25,13.21,14.72,9.82,1.41,7.43,3.83,3.66,4.14,3.82,,4.07,3.35,3.7
g_1,21.35,22.11,17.43,16.9,15.33,12.05,3.63,1.41,5.57,5.9,4.55,6.12,3.27,5.51,2.52,
c_0,14.62,15.9,9.83,,13.6,10.87,5.94,3.77,1.72,5.66,5.07,4.99,3.23,3.1,4.27,3.59
d_0,17.3,9.5,,15.63,16.4,9.93,6.02,6.08,4.21,1.74,3.95,4.0,4.5,3.34,2.9,3.17
b_0,17.03,18.18,18.83,16.05,,13.37,5.08,4.72,3.18,5.47,1.71,4.28,3.58,6.47,5.18,2.77
f_0,,18.83,17.08,18.21,14.68,17.62,7.2,3.93,4.22,6.78,5.09,1.7,5.58,,5.67,3.48
h_0,19.41,14.87,18.3,14.59,17.05,14.85,,7.4,5.44,3.65,4.55,3.5,,3.64,4.84,3.11
a_0,23.29,20.08,21.54,25.93,24.04,,6.83,7.36,8.01,6.95,3.82,,4.94,1.74,,4.99
e_0,35.33,,25.77,19.02,,,9.4,10.58,7.51,7.55,6.84,3.21,4.49,,1.71,
g_0,22.44,20.24,18.79,21.5,20.8,15.39,5.61,,5.01,5.6,7.71,5.49,5.04,4.89,,
