,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.95,0.42,0.4,0.56,0.38,0.26,0.32,0.26,0.47,0.27,0.3,0.29,0.28,0.17,0.26,0.21
f_1,0.73,0.95,0.41,0.39,0.33,0.29,0.25,0.26,0.28,0.28,0.17,0.26,0.24,0.16,0.21,0.16
d_1,0.48,0.55,0.95,0.4,0.37,0.31,0.31,0.23,0.2,0.45,0.26,0.28,0.28,0.2,0.21,0.17
c_1,0.41,0.54,0.45,0.94,0.65,0.33,0.32,0.25,0.24,0.17,0.24,0.21,0.28,0.18,0.23,0.19
b_1,0.49,0.52,0.48,0.38,0.94,0.56,0.38,0.31,0.29,0.31,0.29,0.16,0.27,0.26,0.24,0.2
a_1,0.59,0.57,0.62,0.49,0.36,0.94,0.39,0.3,0.3,0.34,0.31,0.29,0.32,0.22,0.27,0.13
h_1,0.69,1.03,0.72,0.71,0.51,0.47,0.76,0.53,0.49,0.45,0.37,0.39,0.33,0.34,0.4,0.26
g_1,0.79,0.73,1.03,0.7,0.49,0.56,0.48,0.75,0.42,0.48,0.59,0.44,0.34,0.34,0.33,0.32
d_0,0.7,0.88,0.54,1.26,0.69,0.52,0.43,0.44,0.65,0.35,0.44,0.39,0.44,0.32,0.41,0.32
c_0,0.88,0.82,0.82,0.6,0.53,0.55,0.5,0.48,0.56,0.67,0.51,0.72,0.44,0.37,0.39,0.42
f_0,0.74,0.75,0.83,0.91,0.71,0.5,0.58,0.37,0.56,0.48,0.67,0.5,0.45,0.62,0.38,0.33
b_0,0.79,0.86,0.94,0.85,0.56,0.43,0.57,0.5,0.53,0.45,0.48,0.68,0.49,0.4,0.43,0.66
h_0,0.85,1.05,0.92,0.82,0.65,0.58,0.45,0.64,0.55,0.51,0.45,0.48,0.39,0.31,0.54,0.36
e_0,0.59,1.15,0.94,1.0,0.65,0.67,0.6,0.53,0.5,0.54,0.45,0.52,0.58,0.64,0.4,0.34
g_0,0.8,0.84,1.3,0.87,0.68,0.58,0.62,0.42,0.51,0.55,0.74,0.48,0.45,0.48,0.41,0.37
a_0,0.84,1.09,1.09,0.92,0.79,0.46,0.72,0.51,0.59,0.44,0.55,0.42,0.54,0.38,0.47,0.64
