,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.65,1.28,1.49,1.14,1.57,0.96,0.61,0.62,0.3,0.52,0.49,0.43,0.41,0.44,0.4,0.36
f_1,1.34,0.65,1.25,1.47,1.19,1.03,0.46,0.65,0.49,0.45,0.6,0.42,0.3,0.33,0.41,0.41
d_1,1.43,1.23,0.65,1.45,1.36,1.31,0.59,0.4,0.73,0.51,0.41,0.48,0.37,0.46,0.38,0.27
e_1,1.43,0.9,1.47,0.64,1.35,1.4,0.63,0.65,0.59,0.51,0.56,0.48,0.43,0.92,0.5,0.45
b_1,0.83,1.65,1.43,1.32,0.63,1.68,0.77,0.66,0.57,0.63,0.5,0.75,0.43,0.44,0.52,0.4
a_1,2.13,2.16,1.69,1.62,0.87,0.57,0.67,0.9,0.66,0.65,0.55,0.74,0.5,0.69,0.81,0.57
h_1,1.98,2.06,1.81,2.16,1.83,1.85,0.58,0.9,0.83,0.7,0.67,0.69,0.69,0.54,0.61,0.67
g_1,2.13,2.16,2.27,2.06,2.32,1.71,0.75,0.55,0.81,0.71,0.95,0.74,0.47,0.73,0.7,0.74
d_0,2.7,2.2,2.94,1.32,2.28,1.82,1.05,0.95,0.61,0.7,1.02,0.73,0.61,0.92,0.85,0.69
c_0,3.95,2.29,1.36,2.31,2.13,2.01,1.04,1.02,1.13,0.6,0.83,0.99,0.71,0.98,0.87,0.63
f_0,2.33,3.47,2.35,2.1,2.34,2.0,1.12,0.7,0.87,0.84,0.58,0.96,0.72,1.12,0.98,0.52
b_0,3.14,2.52,1.88,2.38,3.2,2.15,1.05,1.03,0.92,0.53,0.74,0.59,0.72,0.82,1.06,0.68
h_0,2.41,3.01,2.63,2.47,2.4,2.28,1.48,1.32,1.06,0.96,1.03,0.82,0.95,0.89,0.87,0.77
e_0,2.61,4.55,2.45,3.43,2.84,1.94,1.27,0.94,0.94,0.81,0.55,0.86,0.82,0.55,0.85,0.72
a_0,3.0,2.63,2.69,2.74,2.83,3.24,1.15,1.29,0.97,0.87,0.85,0.56,0.75,0.89,0.57,0.81
g_0,2.99,2.96,2.91,2.43,2.74,2.32,1.01,1.38,1.01,0.95,1.09,0.92,0.64,0.91,0.93,0.92
