,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.89,1.16,0.95,0.84,0.69,0.43,0.41,0.41,0.42,0.37,0.34,0.32,0.33,0.31,0.27
d_1,1.13,1.0,1.01,0.82,0.86,0.72,0.53,0.38,0.53,0.47,0.41,0.4,0.33,0.35,0.3,0.3
e_1,0.86,0.98,1.0,1.11,0.91,0.74,0.51,0.51,0.44,0.58,0.41,0.44,0.39,0.31,0.35,0.33
c_1,1.04,1.21,0.91,1.0,1.33,0.81,0.52,0.47,0.39,0.31,0.3,0.38,0.35,0.3,0.35,0.34
b_1,1.19,1.12,1.1,0.78,1.0,1.26,0.58,0.49,0.47,0.43,0.46,0.44,0.38,0.32,0.35,0.36
a_1,1.46,1.38,1.37,1.22,0.8,1.0,0.7,0.66,0.53,0.53,0.65,0.48,0.48,0.46,0.44,0.38
h_1,2.35,1.88,1.99,1.93,1.73,1.45,1.0,0.96,0.86,0.77,0.72,0.73,0.68,0.62,0.72,0.59
g_1,2.39,2.63,1.88,2.07,2.08,1.5,1.04,1.0,0.98,0.78,0.87,1.01,0.75,0.7,0.69,0.84
c_0,2.52,1.93,2.15,2.67,1.95,1.8,1.2,1.04,1.0,1.06,1.26,0.94,0.83,0.92,0.7,0.79
d_0,2.27,2.11,1.73,3.29,2.36,1.95,1.29,1.27,0.88,1.0,0.9,0.92,0.83,0.75,0.81,0.85
b_0,2.62,2.42,2.42,3.08,2.06,1.6,1.41,1.07,0.81,1.08,1.0,1.03,0.95,1.27,0.85,0.81
f_0,2.87,2.59,2.33,2.61,2.18,2.12,1.38,0.96,1.06,1.07,0.92,1.0,0.94,0.79,0.72,1.22
h_0,3.14,3.04,2.58,2.88,2.65,2.06,1.46,1.36,1.19,1.17,1.1,1.03,1.0,0.91,1.14,0.89
a_0,3.12,2.9,3.0,3.1,3.1,2.25,1.55,1.41,1.1,1.29,0.85,1.25,1.1,1.0,0.94,1.13
g_0,3.29,3.33,2.91,2.86,3.1,2.25,1.38,1.42,1.4,1.28,1.11,1.4,0.87,1.07,1.0,1.03
e_0,3.52,3.41,3.21,2.95,2.76,2.46,1.71,1.21,1.24,1.15,1.28,0.83,1.07,0.98,0.95,1.0
