,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.63,1.39,1.15,1.48,1.33,1.23,5.07,5.07,12.1,5.5,6.43,6.29,10.16,7.42,3.87,6.94
f_1,2.34,5.76,1.24,1.25,1.19,0.93,4.23,3.95,5.47,4.69,2.36,5.52,8.14,4.5,4.72,9.07
d_1,1.32,1.26,6.44,0.96,1.25,1.43,4.17,5.42,2.99,12.21,7.19,7.36,10.31,5.98,7.22,9.47
c_1,1.1,1.42,1.24,7.07,2.31,1.0,4.17,3.77,5.72,1.95,5.91,4.43,9.93,6.67,7.23,9.47
b_1,1.18,1.37,1.1,1.37,7.59,2.47,5.19,5.02,5.96,6.71,6.37,2.8,8.46,5.67,5.84,9.23
a_1,1.07,1.49,1.32,1.58,1.25,11.56,5.23,3.37,5.46,5.96,5.58,6.64,7.77,2.78,5.23,9.95
h_1,1.48,2.0,1.7,1.58,1.4,1.41,15.36,8.23,6.6,6.82,7.89,6.93,5.75,7.12,9.18,14.56
g_1,1.38,1.38,2.62,1.31,1.3,1.53,5.63,18.58,6.07,6.88,12.94,7.79,10.57,8.9,10.67,5.79
d_0,1.31,1.46,1.02,3.14,1.66,1.61,5.83,5.07,14.23,6.02,7.76,7.73,10.46,8.38,8.27,11.88
c_0,1.71,1.58,1.75,0.8,1.31,1.55,5.72,5.58,7.59,16.24,9.44,16.06,11.4,8.98,8.3,14.47
f_0,1.27,0.87,1.95,1.96,1.54,1.69,6.75,6.21,7.38,7.93,17.89,9.79,11.81,9.97,17.3,14.21
b_0,1.75,1.52,1.97,1.7,0.91,1.2,5.13,5.75,7.26,5.81,8.62,18.86,14.03,17.51,10.07,14.24
h_0,1.44,2.29,1.66,1.78,1.46,1.33,3.03,7.36,8.1,6.23,7.09,6.96,7.11,7.76,8.3,15.17
a_0,1.38,1.62,1.99,1.65,1.44,1.06,6.53,5.83,7.59,6.53,7.73,7.41,14.43,22.23,10.27,11.72
e_0,0.89,1.93,1.71,1.71,1.66,1.46,6.69,5.29,7.42,8.99,7.87,8.9,11.72,9.97,23.73,13.31
g_0,1.39,1.29,2.91,1.89,1.4,1.28,5.9,3.61,6.14,7.55,8.84,8.07,10.7,8.42,7.56,6.78
