,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,36.57,0.12,0.05,0.08,0.08,0.09,0.29,0.28,0.31,0.29,0.38,,0.7,0.3,0.31,0.57
e_1,0.06,37.39,0.05,0.06,0.07,0.06,0.37,0.35,0.26,0.63,0.49,0.4,0.75,0.27,,0.5
d_1,0.06,0.06,41.1,0.06,0.05,0.06,0.28,0.77,0.22,,0.43,0.54,0.68,0.33,0.4,0.48
c_1,0.07,0.07,0.09,42.21,0.12,0.06,0.27,,0.25,0.34,0.43,0.49,0.57,0.23,0.23,0.64
b_1,0.07,0.07,0.05,0.07,45.77,0.11,0.29,0.35,0.39,0.31,,0.4,0.76,0.28,0.42,0.5
a_1,0.05,0.05,0.07,0.08,,72.3,0.45,0.49,0.41,0.44,0.33,0.24,0.79,,,
h_1,0.42,0.22,0.27,0.26,0.33,0.33,27.85,1.13,0.89,1.56,1.7,1.32,,0.87,1.21,3.16
c_0,0.37,0.43,0.39,,0.41,0.27,1.4,17.9,1.13,1.77,3.18,1.94,2.66,2.53,2.37,2.13
g_1,0.25,0.21,0.46,0.26,0.19,0.23,1.12,1.82,36.15,1.12,1.01,2.15,1.9,2.21,,
d_0,0.46,0.4,,0.74,0.32,0.41,1.36,2.03,1.44,18.28,1.77,1.24,3.39,1.74,1.34,3.32
b_0,0.44,0.44,0.36,0.31,,0.29,0.83,1.74,1.29,2.08,21.41,1.85,3.25,3.92,1.58,3.77
f_0,,0.33,0.31,0.46,0.43,0.38,1.38,1.61,1.65,2.17,1.52,21.26,2.69,1.79,4.87,2.97
h_0,0.65,0.42,0.51,0.42,0.52,0.51,,3.1,3.11,5.06,3.53,2.37,,3.01,2.96,6.23
a_0,0.35,0.41,0.34,0.37,0.26,,1.33,2.28,1.23,2.3,1.79,1.8,2.23,32.09,2.41,2.5
e_0,0.33,,0.27,0.34,0.41,,1.81,1.78,1.9,2.17,2.11,1.34,2.63,2.06,36.23,4.0
g_0,0.36,0.26,1.03,0.5,0.47,0.65,3.51,3.07,,3.14,1.52,6.01,2.9,3.07,2.75,
