,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.06,1.08,1.24,1.23,1.1,0.25,0.24,0.36,0.21,0.22,0.37,0.12,0.2,0.26,0.19
e_1,0.71,0.42,1.2,1.31,1.37,1.34,0.37,0.25,0.37,0.25,0.23,0.3,0.19,0.27,0.36,0.2
d_1,1.3,1.52,0.41,1.21,1.03,1.02,0.29,0.25,0.21,0.46,0.24,0.24,0.17,0.23,0.25,0.11
c_1,1.28,1.05,1.63,0.4,1.22,0.99,0.41,0.33,0.4,0.14,0.25,0.22,0.18,0.25,0.23,0.16
b_1,1.47,1.25,1.32,0.71,0.39,1.62,0.37,0.36,0.4,0.29,0.41,0.23,0.21,0.26,0.23,0.19
a_1,1.95,1.73,1.7,1.82,0.81,0.32,0.49,0.38,0.43,0.32,0.51,0.33,0.22,0.59,0.35,0.26
h_1,2.36,2.18,1.8,2.5,1.83,1.69,0.3,0.49,0.64,0.59,0.53,0.49,0.42,0.38,0.39,0.29
c_0,2.76,2.49,1.32,4.84,2.62,2.01,0.73,0.31,0.55,0.64,0.47,0.54,0.33,0.47,0.47,0.34
g_1,2.59,2.29,2.43,2.83,2.59,1.98,0.57,0.55,0.28,0.58,0.44,0.47,0.28,0.56,0.48,0.45
d_0,2.6,1.53,3.28,2.94,2.94,2.47,0.77,0.59,0.84,0.34,0.49,0.52,0.38,0.49,0.52,0.46
b_0,2.74,2.68,1.92,3.62,4.0,2.51,0.7,0.32,0.84,0.58,0.3,0.51,0.35,0.53,0.52,0.49
f_0,4.56,2.63,2.04,2.47,2.7,2.38,0.77,0.6,0.48,0.58,0.6,0.31,0.47,0.52,0.54,0.26
h_0,3.02,3.12,2.66,3.14,2.88,2.52,1.04,0.71,0.77,0.62,0.53,0.53,0.58,0.54,0.61,0.5
a_0,3.29,3.08,2.89,3.15,4.2,4.01,0.98,0.58,0.85,0.57,0.32,0.55,0.47,0.29,0.58,0.5
e_0,4.3,4.12,2.99,3.11,2.97,3.22,0.89,0.62,0.82,0.75,0.59,0.33,0.47,0.56,0.27,0.44
g_0,4.27,3.24,2.96,3.63,2.77,2.93,0.68,0.81,1.23,0.75,0.68,0.74,0.35,0.68,0.55,0.59
