,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.18,2.2,2.86,1.8,2.12,2.24,8.46,18.86,10.68,8.77,11.47,12.0,14.62,12.74,9.74,14.92
f_1,3.78,6.43,1.98,2.33,1.87,1.97,7.38,9.43,10.33,7.93,10.07,5.74,15.56,12.6,7.57,15.18
c_1,1.91,2.16,6.48,2.06,4.18,2.11,7.34,9.35,5.42,6.83,6.48,10.79,15.22,11.18,10.31,15.86
d_1,2.33,2.24,1.81,6.54,2.54,2.06,8.04,6.01,17.69,8.51,12.86,11.28,16.18,9.32,11.67,15.06
b_1,2.01,2.5,2.08,2.29,7.63,4.24,8.27,9.05,11.05,7.73,6.57,10.34,15.63,8.08,10.54,15.66
a_1,2.28,2.46,2.22,2.48,1.73,9.97,9.21,11.0,9.26,8.77,10.14,12.11,16.84,7.42,13.55,15.46
h_1,2.29,3.29,2.59,2.54,2.24,2.0,17.71,9.94,10.27,12.27,10.61,11.4,14.11,12.15,13.91,21.98
d_0,2.32,2.37,4.44,1.65,2.51,2.29,8.08,17.7,8.32,8.34,10.81,12.47,18.91,12.06,12.79,17.96
c_0,2.4,3.06,2.09,2.78,1.49,2.6,9.13,11.75,18.02,9.01,22.61,10.19,20.02,16.69,14.17,18.86
g_1,2.18,2.0,2.47,4.07,2.06,2.37,7.98,9.44,10.93,21.19,11.41,18.06,16.09,10.71,13.41,13.76
b_0,2.34,2.57,2.97,2.64,1.7,1.84,9.51,11.68,11.3,9.44,22.17,11.26,19.8,27.42,13.38,19.55
f_0,2.01,1.97,2.81,2.73,2.82,2.49,9.58,11.76,10.85,9.69,12.35,21.98,19.61,13.37,26.52,16.99
h_0,2.04,3.32,2.67,2.7,2.46,2.07,6.77,10.46,10.1,10.81,12.0,10.52,14.7,14.4,12.85,23.54
a_0,2.3,2.87,2.52,2.81,2.45,1.7,9.76,10.82,10.61,10.22,10.78,11.34,23.78,26.97,13.29,19.42
e_0,1.69,2.89,2.54,2.76,2.35,2.57,11.29,10.41,11.55,10.08,13.26,12.12,18.38,15.24,27.44,19.53
g_0,1.98,2.18,2.46,3.59,2.72,2.15,9.51,8.98,11.64,8.6,10.97,18.61,16.82,16.12,16.21,15.62
