,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.17,2.12,0.94,1.65,1.55,1.57,0.48,0.39,0.34,0.74,0.38,0.33,0.2,0.28,1.29,0.42
d_1,2.48,0.16,1.74,2.13,1.5,1.7,0.48,2.42,0.27,0.27,0.33,0.26,0.26,0.13,0.33,0.27
f_1,1.5,1.7,0.16,1.71,1.44,1.56,0.4,0.29,0.32,0.52,0.33,1.59,0.16,0.43,0.37,0.35
c_1,1.45,2.03,1.55,0.16,2.11,1.54,0.42,0.17,1.47,0.43,0.37,0.4,0.28,0.23,0.35,0.3
b_1,1.57,1.9,2.38,0.84,0.14,2.59,0.47,0.37,0.37,0.47,1.23,0.27,0.29,0.23,0.33,0.36
a_1,2.27,1.87,1.35,2.2,0.87,0.09,0.51,0.35,0.32,0.78,0.49,0.35,0.27,0.24,0.28,1.23
h_1,0.97,0.96,1.02,0.78,1.15,0.79,0.07,0.23,0.25,0.31,0.14,0.16,0.39,0.13,0.17,0.18
d_0,0.44,2.83,1.21,1.0,1.03,0.84,0.27,0.08,0.2,0.29,0.24,0.16,0.14,0.16,0.2,0.15
c_0,1.06,0.42,1.09,3.63,1.12,0.9,0.28,0.24,0.07,0.29,0.16,0.19,0.13,0.16,0.2,0.17
g_1,0.83,0.91,1.15,1.0,0.89,0.86,0.2,0.25,0.26,0.05,0.21,0.22,0.1,0.38,0.18,0.18
b_0,0.97,0.75,1.03,1.08,2.7,0.93,0.24,0.17,0.09,0.23,0.06,0.17,0.12,0.14,0.15,0.18
f_0,0.79,0.78,4.24,0.9,0.96,0.87,0.26,0.25,0.16,0.16,0.18,0.06,0.15,0.09,0.13,0.14
h_0,0.82,0.79,0.86,1.07,0.96,1.02,0.74,0.21,0.18,0.35,0.2,0.19,0.31,0.14,0.13,0.12
g_0,0.68,0.98,1.05,1.02,1.0,0.92,0.22,0.23,0.18,0.47,0.19,0.15,0.12,0.37,0.14,0.17
e_0,2.52,0.58,0.97,0.84,1.64,1.01,0.26,0.28,0.16,0.21,0.18,0.1,0.14,0.14,0.04,0.11
a_0,0.81,0.77,0.98,0.91,1.4,,0.23,0.16,0.18,0.3,0.09,0.2,0.16,0.16,0.21,0.05
