,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.81,1.29,0.76,0.78,0.68,0.63,0.89,0.85,0.9,0.93,0.95,0.61,0.95,0.91,0.7,0.82
e_1,0.88,1.82,0.68,0.97,0.8,0.79,0.98,0.93,0.98,1.63,0.93,0.92,0.99,1.0,0.77,0.97
d_1,0.86,0.79,1.95,0.64,0.75,0.77,1.05,1.7,0.98,0.73,1.28,1.21,1.07,1.04,1.17,1.03
c_1,0.74,0.76,0.82,1.97,1.34,0.75,0.84,0.54,0.86,0.8,0.68,1.03,0.94,0.91,0.91,0.94
b_1,0.8,0.68,0.95,0.8,1.99,1.43,1.04,0.83,0.9,0.8,0.72,0.9,0.98,0.73,1.05,1.08
a_1,0.86,0.72,0.87,0.95,0.73,2.91,1.12,0.97,1.05,0.94,1.0,1.02,1.03,0.76,0.94,1.04
h_1,1.08,0.87,0.98,0.77,0.82,0.73,1.73,0.96,1.3,1.01,1.11,1.09,0.8,0.99,1.07,1.4
c_0,0.96,0.89,1.0,0.8,0.68,0.72,1.0,1.64,0.98,0.94,1.97,1.07,1.12,1.42,1.18,1.01
g_1,0.81,0.78,1.29,0.84,0.78,0.81,0.98,1.15,2.08,0.92,1.0,1.61,1.09,1.1,1.2,0.89
d_0,0.97,0.85,0.56,1.46,0.83,0.8,0.83,0.76,0.94,1.41,0.98,0.96,1.02,1.22,0.91,0.94
b_0,0.99,0.86,0.98,0.93,0.73,0.51,0.85,1.14,1.17,1.16,1.67,1.05,1.23,2.18,1.26,1.13
f_0,0.71,0.75,0.96,0.97,1.02,0.88,1.03,1.03,1.09,0.95,1.19,1.68,1.15,1.26,2.08,0.96
h_0,1.11,0.8,0.95,0.92,0.81,0.79,0.77,1.04,1.26,1.0,1.13,0.99,0.86,1.05,1.03,1.35
a_0,0.99,0.82,0.89,0.94,1.0,0.53,1.22,1.05,1.06,1.09,1.16,1.17,1.09,2.02,1.05,1.11
e_0,0.9,0.71,0.87,0.95,1.02,0.83,1.13,0.98,1.08,1.06,1.09,1.06,1.11,1.21,2.24,1.28
g_0,0.75,0.73,1.28,0.9,0.87,0.73,1.04,1.06,0.9,0.91,0.97,1.55,0.92,0.99,1.23,0.95
