,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.89,0.99,0.89,1.11,0.83,0.85,1.0,0.93,0.93,0.83,0.83,0.93,1.1,0.79
e_1,0.8,1.0,0.93,1.23,1.01,0.9,1.12,1.04,1.11,1.46,1.01,1.31,1.11,1.13,1.07,1.12
d_1,1.13,1.08,1.0,0.91,1.0,0.84,0.98,1.37,0.81,0.9,1.08,0.99,1.01,0.88,0.82,1.08
c_1,1.02,0.82,1.1,1.0,1.34,0.95,1.09,0.83,0.94,0.71,0.82,0.89,1.01,0.93,1.04,0.92
b_1,1.1,0.99,1.0,0.75,1.0,1.44,1.09,1.09,0.94,1.01,1.17,1.01,1.11,0.97,0.96,0.97
a_1,0.9,1.11,1.19,1.04,0.7,1.0,1.02,1.06,1.22,1.07,1.15,1.05,1.15,1.11,1.16,1.04
h_1,1.24,0.88,1.04,0.91,0.9,0.93,1.0,0.91,1.14,1.05,1.12,0.9,1.01,0.9,1.22,0.98
c_0,1.17,0.96,0.72,1.15,0.88,1.01,1.12,1.0,1.16,1.33,1.5,1.06,1.06,1.15,0.99,1.02
g_1,0.97,0.92,1.19,1.07,1.07,0.8,0.88,0.84,1.0,0.88,0.94,1.1,0.75,1.05,0.82,1.09
d_0,1.01,0.65,1.14,1.44,1.04,0.95,0.97,0.77,1.12,1.0,1.01,0.98,1.07,1.04,1.12,1.03
b_0,1.1,0.93,0.94,1.25,0.88,0.83,0.93,0.68,1.07,0.99,1.0,0.99,1.04,1.6,1.05,0.96
f_0,1.19,0.77,1.04,1.11,0.98,0.93,1.14,0.94,0.85,0.99,0.9,1.0,0.97,1.06,0.75,1.53
h_0,1.19,0.92,0.97,0.94,0.89,0.82,1.02,0.92,1.39,0.93,0.91,0.96,0.99,0.94,1.07,0.84
a_0,1.08,0.88,1.12,1.09,1.12,0.79,1.21,0.91,0.9,0.99,0.67,0.95,1.12,1.0,1.02,1.15
g_0,0.93,0.9,1.25,1.0,1.0,0.8,0.81,1.03,1.22,0.89,0.96,1.34,0.92,0.93,1.0,1.12
e_0,1.29,0.98,0.94,1.12,1.03,0.93,1.03,0.96,0.87,0.91,1.0,0.67,1.19,0.95,0.91,1.0
