,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.01,1.99,2.4,1.78,2.13,2.11,8.46,8.18,18.07,6.83,14.25,11.07,15.87,13.42,12.09,17.47
e_1,1.79,6.09,2.26,2.75,2.36,2.39,7.69,7.59,9.86,18.38,9.8,12.37,17.22,12.56,7.46,15.07
f_1,1.89,3.95,6.21,2.22,2.04,1.8,6.16,6.95,9.49,10.45,10.58,6.1,15.99,10.26,7.34,10.58
c_1,2.17,1.93,1.96,7.22,4.1,2.5,7.96,7.22,5.49,9.35,7.39,11.07,14.53,9.18,8.58,15.35
b_1,2.48,1.82,2.35,2.19,8.06,4.3,9.51,7.69,8.98,8.76,6.45,9.69,13.62,6.53,12.81,16.69
a_1,2.39,2.25,2.54,2.28,1.86,10.99,9.09,8.58,9.42,12.38,9.29,11.29,19.62,7.21,13.75,17.27
h_1,2.47,2.17,3.02,2.67,2.5,2.42,17.11,10.97,10.65,10.8,11.53,10.36,13.06,10.36,13.26,22.69
g_1,3.87,1.88,1.65,2.55,2.48,2.39,8.76,20.87,11.15,9.0,11.12,17.53,16.97,14.05,16.08,13.35
c_0,2.83,2.52,2.5,1.71,2.07,2.32,8.41,9.93,18.18,12.15,21.14,12.65,20.11,17.42,12.33,17.76
d_0,1.75,2.49,2.61,4.68,2.4,2.06,8.23,9.0,7.5,18.44,8.7,11.66,17.21,11.49,12.53,17.46
b_0,2.99,2.46,2.46,2.33,1.47,1.89,9.76,9.98,12.38,10.98,20.47,10.72,19.59,28.58,12.03,19.02
f_0,2.65,1.76,2.15,2.52,2.44,3.26,10.6,10.54,12.35,10.92,12.35,21.5,21.5,13.18,29.21,18.62
h_0,2.79,2.34,3.43,2.67,2.47,1.89,6.02,11.31,11.91,10.07,9.8,10.2,13.49,14.46,9.55,20.77
a_0,2.89,2.64,2.44,2.74,1.92,1.8,10.17,10.27,12.53,11.86,12.41,12.57,18.78,25.08,11.0,17.9
e_0,2.83,1.89,2.57,2.63,2.57,2.46,10.15,9.34,11.99,10.65,11.83,11.83,22.01,13.57,26.34,19.28
g_0,3.77,2.1,2.39,2.35,2.2,2.41,8.99,8.66,12.57,9.79,10.67,17.39,16.02,14.69,12.23,16.12
