,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.91,0.59,0.31,0.3,0.18,0.16,0.27,0.22,0.29,0.25,0.23,0.13,0.28,0.18,0.2,0.1
e_1,0.37,0.91,0.38,0.28,0.27,0.16,0.27,0.22,0.5,0.26,0.23,0.21,0.33,0.19,0.22,0.11
c_1,0.34,0.3,0.91,0.26,0.48,0.17,0.27,0.22,0.28,0.13,0.15,0.23,0.29,0.15,0.22,0.16
d_1,0.39,0.34,0.25,0.91,0.21,0.18,0.28,0.26,0.18,0.49,0.3,0.27,0.32,0.19,0.26,0.17
b_1,0.39,0.25,0.36,0.28,0.9,0.33,0.29,0.23,0.27,0.23,0.13,0.21,0.33,0.11,0.24,0.13
a_1,0.42,0.31,0.32,0.27,0.27,0.88,0.29,0.22,0.29,0.25,0.22,0.19,0.34,0.12,0.22,0.1
h_1,0.56,0.35,0.28,0.36,0.25,0.18,0.61,0.29,0.28,0.26,0.28,0.21,0.28,0.2,0.32,0.14
g_1,0.35,0.32,0.32,0.52,0.26,0.17,0.29,0.59,0.3,0.28,0.3,0.37,0.37,0.25,0.21,0.22
d_0,0.37,0.31,0.65,0.24,0.3,0.14,0.31,0.28,0.51,0.19,0.23,0.27,0.35,0.2,0.25,0.19
c_0,0.4,0.37,0.29,0.41,0.18,0.2,0.29,0.27,0.36,0.49,0.53,0.29,0.41,0.29,0.32,0.22
b_0,0.42,0.36,0.33,0.42,0.16,0.18,0.32,0.29,0.28,0.32,0.49,0.27,0.37,0.45,0.3,0.19
f_0,0.34,0.26,0.38,0.4,0.26,0.15,0.31,0.31,0.33,0.32,0.32,0.5,0.43,0.25,0.29,0.4
h_0,0.48,0.32,0.37,0.39,0.28,0.16,0.22,0.36,0.3,0.28,0.29,0.24,0.25,0.21,0.31,0.17
a_0,0.42,0.37,0.38,0.37,0.24,0.12,0.35,0.28,0.3,0.23,0.31,0.28,0.35,0.46,0.26,0.21
g_0,0.38,0.31,0.3,0.53,0.25,0.17,0.3,0.23,0.23,0.26,0.31,0.41,0.35,0.22,0.2,0.21
e_0,0.42,0.24,0.36,0.37,0.37,0.2,0.32,0.29,0.32,0.27,0.34,0.28,0.4,0.22,0.28,0.47
